"PrecursorName","Replicate","Total.Area"
"01_malic acid","Aniger_SF42_IMS_01_17_20V_25Aug",962505
"01_malic acid","Aniger_SF42_IMS_02_18_20V_25Aug",898378
"01_malic acid","Aniger_SF42_IMS_03_19_20V_25Aug",731532
"01_malic acid","Aniger_SF42_IMS_04_20_20V_25Aug",835818
"01_malic acid","Aniger_SF42_IMS_05_21_20V_25Aug",726024
"01_malic acid","Aniger_SF42_IMS_06_22_20V_25Aug",906662
"01_malic acid","Aniger_SF42_IMS_07_23_20V_25Aug",547028
"01_malic acid","Aniger_SF42_IMS_08_24_20V_25Aug",641474
"01_malic acid","Aniger_SF42_IMS_09_25_20V_25Aug",780311
"01_malic acid","Aniger_SF42_IMS_10_26_20V_25Aug",531124
"01_malic acid","Aniger_SF42_IMS_11_27_20V_25Aug",648931
"01_malic acid","Aniger_SF42_IMS_12_28_20V_25Aug",610784
"01_malic acid","Aniger_SF42_IMS_13_29_20V_25Aug",1125896
"01_malic acid","Aniger_SF42_IMS_14_30_20V_25Aug",714992
"01_malic acid","Aniger_SF42_IMS_15_31_20V_25Aug",1001795
"01_malic acid","Aniger_SF53_IMS_17_33_20V_25Aug",1009463
"01_malic acid","Aniger_SF53_IMS_18_34_20V_25Aug",1064441
"01_malic acid","Aniger_SF53_IMS_19_35_20V_25Aug",1056000
"01_malic acid","Aniger_SF53_IMS_20_36_20V_25Aug",1194949
"01_malic acid","Aniger_SF53_IMS_21_37_20V_25Aug",998128
"01_malic acid","Aniger_SF53_IMS_22_38_20V_25Aug",1514532
"01_malic acid","Aniger_SF53_IMS_23_39_20V_25Aug",1463014
"01_malic acid","Aniger_SF53_IMS_24_40_20V_25Aug",1283656
"01_malic acid","Aniger_SF53_IMS_25_41_20V_25Aug",1468239
"01_malic acid","Aniger_SF53_IMS_26_42_20V_25Aug",1327251
"01_malic acid","Aniger_SF53_IMS_27_43_20V_25Aug",1730170
"01_malic acid","Aniger_SF53_IMS_28_44_20V_25Aug",1643654
"01_malic acid","Aniger_SF53_IMS_29_45_20V_25Aug",1261975
"01_malic acid","Aniger_SF53_IMS_30_46_20V_25Aug",1194948
