"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription","ConfidenceLevel"
"01_malic acid","Aniger_SF42_IMS_01_17_20V_25Aug",133.014247,2.21,116.25,"20V",962505,823035,10.6,0.00999999999999979,-0.100817204301073,4,0.999934994679067,0.0134164078649989,-0.00600000000000005,0.0541294744108974,0.014,8.64841025853885,11.6,0.998349859774986,"RT-CCS-DIA",2
"03_cis-aconitic acid","Apseud_SF42_IMS_13_13_20V_25Aug",173.009162,2.05,124.63,"20V",190922,2048.64556962025,14.4,0.0499999999999998,0.156142180855338,2,0.99998430081502,0.0230940107675851,-0.0133333333333333,0.0173205080756888,0.01,11.9578426147863,7.1,0.998342611199465,"RT-CCS-DIA",2
"04_trans-aconitic acid","Aniger_SF42_IMS_05_21_20V_25Aug",173.009162,3.68,126.92,"20V",232054,20.2066957787482,9,0.18,-0.0679167979829855,7,0.948244998073244,0.0297609523657137,-0.015,0.0617454451761424,0.11125,7.84251235255642,10.225,0.998793440892441,"RT-CCS-DIA",2
"05_isocitric acid","Apseud_SF42_IMS_10_10_20V_25Aug",191.019727,3.42,127.43,"20V",10699146,1890.43889655172,13.7,-0.0800000000000001,0.44243898611001,5,0.984737888129815,0.0704272674466361,-0.02,0.0803533861555732,0.0883333333333333,10.7669246615116,3.46666666666667,0.999301091381335,"RT-CCS-DIA",2
"06_citric acid","Apseud_SF42_IMS_12_12_20V_25Aug",191.019727,5.11,127.49,"20V",8310500,2.54564397821918,11.7,0.21,0.395168248490076,6,0.97865063916139,0.0558910504804618,-0.0228571428571429,0.0853284968867516,0.0885714285714285,5.13303957106267,12.1857142857143,0.998818685199362,"RT-CCS-DIA",2
"07_succinic acid","Aniger_SF42_IMS_04_20_20V_25Aug",117.019333,1.8,116.56,"20V",11838,10488,5.3,0,-0.0790150995195625,1,0.999950353885519,0.0282842712474619,-0.02,0.0282842712474619,0.02,3.32340187157677,7.65,0.998260199370394,"RT-CCS-DIA",2
"08_alpha-ketoglutaric acid (aKG)","Aniger_SF42_IMS_15_31_20V_25Aug",145.014247,1.82,121.43,"20V",8956,8956,8.2,0.02,-0.022729144363013,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"09_lactic acid","Aniger_SF53_IMS_28_44_20V_25Aug",89.024418,1.25,113,"20V",14259,14259,6.7,0.05,-0.467079646017698,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"10_3-hydroxypropanoic acid (3HP)","Aniger_SF42_IMS_08_24_20V_25Aug",89.024418,1.27,113.8,"20V",11163,11163,4.3,-0.03,-0.227328646748673,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"11_fumaric acid","Aniger_SF42_IMS_10_26_20V_25Aug",115.003683,2.24,117.64,"20V",30641,27324,3.8,0.04,0.0544882692961546,1,0.997861531629179,0.0212132034355966,0.0150000000000001,0.0919238815542512,0.065,0.707106781186548,4.3,0.998937118226932,"RT-CCS-DIA",2
"12_pyruvic acid","Apseud_SF42_IMS_07_07_20V_25Aug",87.008768,0.99,111.67,"20V",4000,4000,-4.9,0.09,0.0378794662845861,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"13_aspartic acid","Aniger_SF42_IMS_05_21_20V_25Aug",132.030232,2.23,119.13,"20V",5103,4837,-3.5,0.0299999999999998,-0.729874926550829,1,0.99727128679572,0.0282842712474619,0.02,0.0353553390593274,0.025,2.26274169979695,-5.1,0.998585551796949,"RT-CCS-DIA",2
