Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Ion Mobility MS1,Ion Mobility Fragment,Collisional Cross Section,Area,Total Area,Height,Background,Mass Error PPM,Fwhm,Explicit Ion Mobility High Energy Offset,Explicit Retention Time
01_malic acid,Standards,Aniger_SF42_IMS_01_17_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.21,13.6,13.49,116.25,823035,962505,65796,0,10.6,0.19,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_02_18_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.2,13.6,13.49,116.25,783139,898378,55444,4548,10.6,0.19,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_03_19_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.21,13.6,13.49,116.25,642237,731532,50300,0,11.9,0.18,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_04_20_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.23,13.6,13.49,116.25,718384,835818,52843,0,11,0.19,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_05_21_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.23,13.6,13.49,116.25,631683,726024,52186,0,9.8,0.2,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_06_22_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.21,13.6,13.49,116.25,774692,906662,60158,15753,11.7,0.19,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_07_23_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.25,13.6,13.49,116.25,471208,547028,38424,706,12.1,0.2,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_08_24_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.21,13.6,13.49,116.25,553347,641474,47137,0,9.6,0.18,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_09_25_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.21,13.6,13.49,116.25,656585,780311,57073,640,10.2,0.17,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_10_26_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.24,13.6,13.49,116.25,473616,531124,35620,15733,10.5,0.19,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_11_27_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.24,13.6,13.49,116.25,566949,648931,38477,140,10.4,0.22,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_12_28_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.24,13.6,13.49,116.25,535945,610784,36993,1679,8.9,0.21,-0.013301757,2.2
01_malic acid,Standards,Aniger_SF42_IMS_13_29_20V_25Aug,133.014247,-1,133.014247,-1,precursor,2.21,13.6,13.49,116.25,951439,1125896,76877,0,11.6,0.2,-0.013301757,2.2
