"MoleculeGroup","PrecursorName","PrecursorMz","ProductName","ProductMz","Explicit Retention Time","Collisional Cross Section (sq A)","Explicit Retention Time Window","PrecursorCharge","ProductCharge"
"raw10015","raw10015",242.04018,"raw10015-f2",79.956,1.112,142.9926,2,-1,-1
"raw10015","raw10015",242.04018,"raw10015-f3",87.007,1.112,142.9926,2,-1,-1
"raw10015","raw10015",242.04018,"raw10015-f1",117.033,1.112,142.9926,2,-1,-1
"raw10019","raw10019",242.06706,"raw10019-f3",110.022,1.044,156.7743,2,-1,-1
"raw10019","raw10019",242.06706,"raw10019-f1",168.032,1.044,156.7743,2,-1,-1
"raw10019","raw10019",242.06706,"raw10019-f2",243.058,1.044,156.7743,2,-1,-1
"raw10024","raw10024",242.07784,"raw10024-f2",152.991,1.789,152.836,2,-1,-1
"raw10024","raw10024",242.07784,"raw10024-f1",168.036,1.789,152.836,2,-1,-1
"raw10024","raw10024",242.07784,"raw10024-f3",169.04601,1.789,152.836,2,-1,-1
"raw10031","raw10031",242.07784,"raw10031-f3",145.06,1.789,180.4009,2,-1,-1
"raw10031","raw10031",242.07784,"raw10031-f1",168.041,1.789,180.4009,2,-1,-1
"raw10031","raw10031",242.07784,"raw10031-f2",171.008,1.789,180.4009,2,-1,-1
"raw10057","raw10057",242.92867,"raw10057-f4",180.924,4.979,136.0755,2,-1,-1
"raw10057","raw10057",242.92867,"raw10057-f2",196.92,4.979,136.0755,2,-1,-1
"raw10057","raw10057",242.92867,"raw10057-f5",198.939,4.979,136.0755,2,-1,-1
"raw10057","raw10057",242.92867,"raw10057-f1",216.905,4.979,136.0755,2,-1,-1
"raw10057","raw10057",242.92867,"raw10057-f3",234.922,4.979,136.0755,2,-1,-1
"raw10123","raw10123",243.08607,"raw10123-f2",137.097,1.702,148.8662,2,-1,-1
"raw10123","raw10123",243.08607,"raw10123-f1",155.108,1.702,148.8662,2,-1,-1
"raw10123","raw10123",243.08607,"raw10123-f3",199.09599,1.702,148.8662,2,-1,-1
"raw10138","raw10138",243.12276,"raw10138-f3",69.03394,4.845,155.7547,2,-1,-1
"raw10138","raw10138",243.12276,"raw10138-f4",87.00709,4.845,155.7547,2,-1,-1
"raw10138","raw10138",243.12276,"raw10138-f2",113.06082,4.845,155.7547,2,-1,-1
"raw10138","raw10138",243.12276,"raw10138-f1",174.95094,4.845,155.7547,2,-1,-1
"raw10259","raw10259",243.65685,"raw10259-f2",74.02,0.838,153.7688,2,-1,-1
"raw10259","raw10259",243.65685,"raw10259-f1",89.022,0.838,153.7688,2,-1,-1
"raw10259","raw10259",243.65685,"raw10259-f3",221.153,0.838,153.7688,2,-1,-1
"raw10275","raw10275",244.06725,"raw10275-f2",73.02928,1.354,144.8991,2,-1,-1
"raw10275","raw10275",244.06725,"raw10275-f1",91.03631,1.354,144.8991,2,-1,-1
"raw10275","raw10275",244.06725,"raw10275-f3",180.07414,1.354,144.8991,2,-1,-1
"raw10283","raw10283",244.1321,"raw10283-f1",73.03815,1.222,156.7055,2,-1,-1
"raw10283","raw10283",244.1321,"raw10283-f3",130.08235,1.222,156.7055,2,-1,-1
"raw10283","raw10283",244.1321,"raw10283-f2",150.04128,1.222,156.7055,2,-1,-1
"raw10348","raw10348",245.1002,"raw10348-f1",75.00769,4.847,151.7545,2,-1,-1
"raw10348","raw10348",245.1002,"raw10348-f3",85.02828,4.847,151.7545,2,-1,-1
