"PrecursorName.Replicate","PrecursorName","Label","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","featTarget","Total.Area","Precursor.Mz","Precursor.SignalToNoise","CountFragments"
"raw12601.Apseud_SF42_IMS_03_03_20V_25Aug20","raw12601","target",0.996848948232571,0.132161517343994,0.0700000000000001,0.387330608137286,0.5675,19.3837345902864,20.625,0.920400361401896,12601,117261,261.09647,16482,4
"raw12601.Apseud_SF42_IMS_06_06_20V_25Aug20","raw12601","target",0.996746051238997,0.0683130051063974,-0.01,0.0767571929311297,0.0325,18.9784087847217,22.1,0.988175051905691,12601,31128,261.09647,7.43945720250522,4
"raw12601.Apseud_SF42_IMS_11_11_20V_25Aug20","raw12601","target",0.979035238048336,0.02,0.01,0.21548395145192,0.105,19.9356255649695,22.025,0.976027832382209,12601,78476,261.09647,21122,4
"raw12720.Apseud_SF42_IMS_11_11_20V_25Aug20","raw12720","target",0.998962731675699,0.0230940107675851,0.0266666666666667,0.023094010767585,-0.0266666666666667,8.01332224070225,15.2333333333333,0.996179953014163,12720,88575,263.08948,5225,3
"raw13108.Aniger_SF42_IMS_01_17_20V_25Aug20","raw13108","target",0.995633280588783,0.0485994317035164,0.00571428571428578,0.0279455252402309,0.00857142857142857,13.9068842150724,11.8142857142857,0.997638104297383,13108,42210,271.10315,8146,7
"raw13108.Aniger_SF42_IMS_13_29_20V_25Aug20","raw13108","target",0.997453068701192,0.0287228132326903,0.0325000000000002,0.00816496580927726,-0.02,14.1273670583021,5.825,0.997212091781611,13108,7760,271.10315,1119,4
"raw13108.Aniger_SF42_IMS_15_31_20V_25Aug20","raw13108","target",0.990062640526056,0.063508529610859,0.00333333333333326,0.0152752523165195,0.0566666666666667,6.21718049708494,-5.46666666666667,0.998893193398731,13108,1417,271.10315,913,3
"raw13108.Aniger_SF53_IMS_17_33_20V_25Aug20","raw13108","target",0.999269403997475,0.064485140407177,-0.0575,0.0369684550213647,0.035,3.61789533661032,9.825,0.996169520523498,13108,75069,271.10315,9486,4
"raw13108.Aniger_SF53_IMS_18_34_20V_25Aug20","raw13108","target",0.990752609416338,0.0482367672453877,-0.04875,0.0309088521763126,-0.01875,12.0786041648623,7.8125,0.996658155606067,13108,24001,271.10315,1019,8
"raw13108.Aniger_SF53_IMS_19_35_20V_25Aug20","raw13108","target",0.976225566511743,0.018516401995451,-0.01,0.0545108115095398,-0.025,15.6320184237353,9.8,0.997397745813599,13108,41993,271.10315,7347,8
"raw13108.Aniger_SF53_IMS_20_36_20V_25Aug20","raw13108","target",0.998808880975831,0.0230940107675851,-0.02,0.047169905660283,0.0275,11.3980627008862,3.825,0.998938731327661,13108,33942,271.10315,2504,4
"raw13108.Aniger_SF53_IMS_21_37_20V_25Aug20","raw13108","target",0.999323871061519,0.021380899352994,-0.047142857142857,0.0282842712474619,1.98254111540207e-18,9.93720761774128,15.8142857142857,0.996010712877353,13108,95541,271.10315,11293,7
"raw13108.Aniger_SF53_IMS_22_38_20V_25Aug20","raw13108","target",0.995931515243337,0.0252982212813471,0.032,0.0134989711542111,0.00600000000000001,13.2175346499346,14.69,0.996379527260925,13108,231801,271.10315,28037,10
"raw13108.Aniger_SF53_IMS_24_40_20V_25Aug20","raw13108","target",0.993054149208283,0.017638342073764,-0.0311111111111111,0.0174005108481842,0.0444444444444445,9.42392050994584,17.3444444444444,0.996728726082602,13108,100241,271.10315,14012,9
"raw13108.Aniger_SF53_IMS_25_41_20V_25Aug20","raw13108","target",0.994758046336282,0.02,0.0133333333333333,0.0255495161945932,0.0244444444444445,13.3677784242558,14.5333333333333,0.997524469419795,13108,67799,271.10315,8007,9
"raw13108.Aniger_SF53_IMS_26_42_20V_25Aug20","raw13108","target",0.991612634123717,0.0206559111797729,-0.0133333333333333,0.033466401061363,0.02,10.4287423338899,20.2333333333333,0.996422845558907,13108,89182,271.10315,20974,6
"raw13108.Aniger_SF53_IMS_28_44_20V_25Aug20","raw13108","target",0.996363664628738,0,0,0,0.02,11.562583333033,20.8666666666667,0.994903028412695,13108,152328,271.10315,24807,3
"raw13108.Aniger_SF53_IMS_30_46_20V_25Aug20","raw13108","target",0.999245254643058,0.0230940107675851,-0.0133333333333333,0.00577350269189625,-0.0366666666666667,5.25198375219624,6.33333333333333,0.997224619137711,13108,11000,271.10315,482,3
"raw13108.Aniger_SF53_IMS_31_47_20V_25Aug20","raw13108","target",0.97837763514911,0.0230940107675851,0.0133333333333333,0.0173205080756888,0.00999999999999999,9.31468374843362,11.8333333333333,0.997671795529868,13108,13162,271.10315,596,3
"raw13108.Apseud_SF42_IMS_02_02_20V_25Aug20","raw13108","target",0.998389288691278,0.0164316767251551,-0.0120000000000001,0.00836660026534076,0.002,13.4737893704778,15.74,0.996644530261596,13108,78654,271.10315,7571,5
"raw13108.Apseud_SF42_IMS_03_03_20V_25Aug20","raw13108","target",0.996245191920677,0.0326598632371091,-0.0133333333333333,0.0183484785926972,-0.0116666666666667,6.72071424775671,11.9,0.997462826098886,13108,87663,271.10315,8954,6
"raw13108.Apseud_SF42_IMS_05_05_20V_25Aug20","raw13108","target",0.999989670453278,0.0230940107675851,-0.02,0.00577350269189626,0.035,4.69920205992464,13.475,0.997215495479121,13108,189369,271.10315,25811,4
"raw13108.Apseud_SF42_IMS_08_08_20V_25Aug20","raw13108","target",0.998865215467417,0.0230940107675851,0.02,0.0125830573921179,0.00750000000000001,2.37627158941622,13.3,0.997038585064547,13108,191737,271.10315,27182,4
"raw13108.Apseud_SF42_IMS_10_10_20V_25Aug20","raw13108","target",0.999372684118222,0,0,0.00957427107756339,0.0125,7.55044148819568,16.125,0.996578646907116,13108,142341,271.10315,19835,4
"raw13108.Apseud_SF42_IMS_12_12_20V_25Aug20","raw13108","target",0.998303462131693,0.0206559111797729,-0.0133333333333333,0.0503653319920227,-0.0216666666666667,6.21117272877407,14.8666666666667,0.997301591217095,13108,198101,271.10315,20083,6
"raw13108.Apseud_SF42_IMS_13_13_20V_25Aug20","raw13108","target",0.998637266067818,0.0287518115371306,0.0166666666666668,0.0216024689946929,0.0133333333333333,7.75267695702588,20.4,0.996006550989688,13108,188585,271.10315,20824,6
"raw13108.Apseud_SF42_IMS_14_14_20V_25Aug20","raw13108","target",0.997975390993157,0.0163299316185545,-0.00666666666666667,0.0307679486912382,0.00333333333333335,5.81962198085065,17.5,0.996984022993696,13108,298473,271.10315,36285,6
"raw13108.Apseud_SF42_IMS_15_15_20V_25Aug20","raw13108","target",0.996557741066752,0.0173205080756889,0.0100000000000001,0.0208166599946613,0.0166666666666667,4.5938364504337,14.3333333333333,0.997465746965275,13108,207462,271.10315,26.8473400154202,3
"raw13108.Apseud_SF42_IMS_16_16_20V_25Aug20","raw13108","target",0.998653348723249,0.0219089023002067,0.02,0.0314112506383727,0.0133333333333333,10.7850668364488,17.4166666666667,0.996867035194572,13108,126247,271.10315,11936,6
"raw14112.Apseud_SF42_IMS_03_03_20V_25Aug20","raw14112","target",0.999478584137091,0.0382970843102535,-0.00999999999999995,0.0270801280154532,-0.02,25.1397924945029,20.725,0.983005258102669,14112,816149,279.34686,104178,4
"raw14112.Apseud_SF42_IMS_06_06_20V_25Aug20","raw14112","target",0.998951925233051,0.032659863237109,2.77555756156289e-17,0.0221735578260835,-0.0125,24.9318237065268,21.425,0.984382286027446,14112,594219,279.34686,23177,4
"raw14112.Apseud_SF42_IMS_11_11_20V_25Aug20","raw14112","target",0.999822735006967,0.02,0.01,0.0238047614284762,-0.015,25.1837910834198,19.65,0.987187988267913,14112,565898,279.34686,16567,4
"raw15033.Aniger_SF53_IMS_23_39_20V_25Aug20","raw15033","target",0.999447442024576,0.0692820323027551,0,0.115470053837925,0.0233333333333333,32.7867859561338,8.36666666666667,0.978797024983074,15033,20804,289.12936,14.1897491821156,3
"raw15033.Apseud_SF42_IMS_07_07_20V_25Aug20","raw15033","target",0.944867248970528,0.123827837473378,-0.03,0.165529453572469,-0.01,42.3841558446864,-4.65,0.83803800547858,15033,155304,289.12936,6.36966547104897,4
"raw15038.Aniger_SF42_IMS_12_28_20V_25Aug20","raw15038","target",0.951336206658889,0.120138808606267,0.095,0.066332495807108,0.19,20.6901546635109,13.375,0.991395516116803,15038,34449,289.12936,22.690927218345,4
"raw15038.Aniger_SF53_IMS_17_33_20V_25Aug20","raw15038","target",0.884910909296417,0.0692820323027551,-0.04,0.1,-0.06,29.6789487684453,15.1,0.864534858934471,15038,25199,289.12936,8.97739767868051,3
