PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	6	0.1783833	0.2964	0.76785	-1	-1	-1	-1	557.0038	6757.333	137576.5		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	135.1467	556.98749:545 557.00385:2692 557.99994:195 560.87085:1066	
1	Unknown	86	0.1783833	0.2964	0.76785	20.08142	20.92315	21.88514	166.4351	557.0038	7254.333	229058		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	145.0867	556.98749:138 557.00385:732	255.22919:52
2	Unknown	8	0.13915	0.3748667	0.6105833	-1	-1	-1	-1	217.002	1278.667	24554.16		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.64667		
3	Unknown	54	0.13915	0.3748667	0.6105833	16.35373	17.19546	18.0372	141.8651	217.002	1561.667	41002.18		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	31.23333	216.99693:132 217.00203:172 217.00713:125 217.01222:83 217.01732:65 217.02242:36 220.98846:22 220.99361:21	
4	Unknown	8	0.2571667	0.3748667	0.5321167	-1	-1	-1	-1	250.9765	413.6667	4053.679		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.233333	255.22919:382	
5	Unknown	13	0.2571667	0.3748667	0.5321167	11.06282	12.2653	12.86654	100.4744	250.9765	422.3333	10750.16	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.446667	250.97655:54	248.97:312408 249.29201:2643 249.368:1855 249.439:1539 249.97501:14837
6	Unknown	8	0.2176167	0.3748667	0.8070667	-1	-1	-1	-1	558.0081	772.3333	7506.778		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.44667	558.00812:355 560.87085:1119 562.86267:416	
7	Unknown	85	0.2176167	0.3748667	0.8070667	20.20166	20.92315	21.76489	166.4279	558.0081	688	20605.7	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.76	557.99994:55	248.97:13870 471.92801:103
8	Unknown	10	0.3356333	0.4533333	0.6105833	-1	-1	-1	-1	94.97801	422.3333	3825.631		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.366667		
9	Unknown	15	0.3356333	0.4533333	0.6105833	12.38554	12.98678	13.70827	114.8071	94.97801	453.6667	10295.63		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.073334	94.97801:63 94.98139:39 94.98476:25	
10	Unknown	10	0.2571667	0.4533333	0.68905	-1	-1	-1	-1	471.935	4502.333	78969.86		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	87.07333	471.93503:1797	
11	Unknown	31	0.2571667	0.4533333	0.68905	14.18926	14.91075	15.75249	119.1883	471.935	5329.333	149059.4		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	106.5867	471.91998:43 471.93503:570	136.93837:35 248.97002:318
12	Unknown	11	0.3748667	0.4925667	0.76785	-1	-1	-1	-1	127.0008	356	2558.942		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.12		
13	Unknown	16	0.3748667	0.4925667	0.76785	12.62604	13.22728	13.94877	113.521	127.0008	334	7705.5		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.68	127.0008:59	
14	Unknown	13	0.4533333	0.57135	0.68905	-1	-1	-1	-1	187.0075	1110.333	11602.5		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.14	187.00275:242 188.96562:253	
15	Unknown	46	0.4533333	0.57135	0.68905	15.15125	15.99298	16.71447	133.1662	187.0075	1197.667	31788.75		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	23.95333	187.00748:104	
16	w/o MS2:N-Acetylglycine	14	0.13915	0.6105833	1.0428	-1	-1	-1	-1	116.029	535.3333	4234.717		[M-H]-	M + 0		null	null	116.03532	C4H7NO3	N-acyl-alpha amino acids	OKJIRPAQVSHGFK-UHFFFAOYSA-N	O=C(O)CN=C(O)C	530	True	True	True	False	null	74	null	null	null	81.8	10.70667	116.02152:112	
17	w/o MS2:N-Acetylglycine	21	0.13915	0.6105833	1.0428	12.2653	12.98678	13.82852	112.4099	116.029	425.3333	12972.35		[M-H]-	M + 0		null	120.177	116.03532	C4H7NO3	N-acyl-alpha amino acids	OKJIRPAQVSHGFK-UHFFFAOYSA-N	O=C(O)CN=C(O)C	530	True	True	True	False	null	74	null	null	null	81.8	8.506667	116.02152:47 116.02524:66 116.02897:39 116.03269:26 116.03642:25	
18	Unknown	14	0.2964	0.6105833	1.12125	-1	-1	-1	-1	141.019	1292.667	15174.01		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	25.85333	141.01903:624	
19	Unknown	32	0.2964	0.6105833	1.12125	13.10703	14.30951	15.2715	121.6802	141.019	766.3333	37077.26		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.32667		
20	Unknown	14	0.06068333	0.6105833	1.23895	-1	-1	-1	-1	239.0635	3938.333	40475.97		[M-H]-	M + 0	similar chromatogram in higher mz_13; found in higher mz's MsMs_21	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	78.76667	239.05283:709 239.06351:2071 239.12769:198 240.06976:213 241.21237:559	
21	Unknown	68	0.06068333	0.6105833	1.23895	17.43596	18.2777	19.84092	149.9807	239.0635	3451	117746.8	223.029	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	69.02	239.05283:115 239.06351:358	91.02:169 223.019:203 223.02901:1038 225.02699:156 239.069:709
22	Unknown	14	0.3748667	0.6105833	1.12125	-1	-1	-1	-1	265.1464	2446.667	25894.14		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	48.93333	265.14639:1119 267.2226:23 269.20477:149	
23	Unknown	82	0.3748667	0.6105833	1.12125	19.48018	20.32191	21.16365	165.865	265.1464	2226	67177.79	255.224	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	44.52	265.14639:235	254.214:42 255.224:2868 256.23599:1653
