PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	6	0.08476666	0.32115	0.5176333	-1	-1	-1	-1	141.0149	457.3333	4488.339		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.146667		
1	Unknown	30	0.08476666	0.32115	0.5176333	13.70827	14.30951	15.031	121.6805	141.0149	524.6667	11760.24		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.49333		
2	Unknown	7	0.2024667	0.3603833	0.4784	-1	-1	-1	-1	181.022	770	8153.729		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.05333	181.07787:30	
3	Unknown	36	0.2024667	0.3603833	0.4784	14.67026	15.2715	15.87274	127.4435	181.022	1043.667	22589.79		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	20.87333	181.01738:31	
4	Unknown	7	0.2024667	0.3603833	0.7138	-1	-1	-1	-1	249.5378	2295.333	51502.65		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	41.84	249.45587:958 249.87114:342 249.97501:6763 250.97107:200	
5	Unknown	10	0.2024667	0.3603833	0.7138	11.18306	12.14505	12.86654	99.5206	249.5378	3117.667	80890.77	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	62.35333	249.40126:334 249.87662:103 249.97501:2255 250.26488:62 250.58226:47 250.97107:78	248.97:380929 249.718:781 249.756:677 249.82201:600 249.89799:426 249.97501:17485
6	w/o MS2:Palmitic acid	7	0.2024667	0.3603833	0.4784	-1	-1	-1	-1	255.2347	1999	27858.25		[M-H]-	M + 0		null	null	255.23296	C16H32O2	Long-chain fatty acids	IPCSVZSSVZVIGE-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCCCCCC	530	True	True	True	False	null	97.7	null	null	null	98.5	15.14667	255.22365:195	
7	w/o MS2:Palmitic acid	78	0.2024667	0.3603833	0.4784	19.72067	20.68266	21.64464	169.118	255.2347	2247	67358.13	248.97	[M-H]-	M + 0		null	171.289	255.23296	C16H32O2	Long-chain fatty acids	IPCSVZSSVZVIGE-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCCCCCC	510	True	True	True	False	null	97.7	null	null	null	98.5	44.94	255.22365:62	248.97:12036
8	Unknown	8	0.1632333	0.3996167	0.5176333	-1	-1	-1	-1	187.0075	709	8680.743		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.86667	188.96562:136	
9	Unknown	42	0.1632333	0.3996167	0.5176333	15.2715	15.99298	16.83472	133.1662	187.0075	788	22063.09		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.76	187.00748:70	
10	Unknown	8	0.2024667	0.3996167	0.7138	-1	-1	-1	-1	248.9318	987	19755.88		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	19.44667	248.89909:44 248.97002:135287 249.47772:886 249.53781:847 249.5979:609 249.67439:579 249.87114:352 249.97501:6768 250.97107:187	
11	Unknown	9	0.2024667	0.3996167	0.7138	11.18306	12.14505	12.86654	99.53282	248.9318	1375	32849.32	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	27.5	248.90454:33 248.97002:38423 249.45587:314 249.53781:266 249.76729:117 249.87114:115 249.97501:2059 250.97107:74	248.97:374896 249.38499:2243 249.62:1056 249.82201:597 249.89799:415 249.97501:17170
12	Unknown	8	0.2819167	0.3996167	0.7925833	-1	-1	-1	-1	557.0446	1178.667	16132.47		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	23.57333	556.98749:678 557.00385:2653 558.00812:269 560.87085:1254	
13	Unknown	81	0.2819167	0.3996167	0.7925833	20.20166	21.0434	21.76489	167.39	557.0446	1374	39753.98		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	27.48	556.98749:123 557.00385:644 558.00812:74	248.97002:172
14	Unknown	9	0.2819167	0.43885	0.7138	-1	-1	-1	-1	217.002	1414	21846.94		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	24.78	216.99693:430	
15	Unknown	45	0.2819167	0.43885	0.7138	16.47398	17.19546	18.15745	141.8651	217.002	1675.667	44191.16		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	33.51333	216.99693:138 217.00203:156 217.00713:112 217.01222:79 217.01732:47 217.02242:33	
16	Unknown	9	0.2819167	0.43885	0.8318167	-1	-1	-1	-1	557.0038	7124.333	101228.9		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	142.4867	556.97937:76 557.00385:2842 558.00812:297 560.87085:1447	
17	Unknown	76	0.2819167	0.43885	0.8318167	20.08142	21.0434	21.88514	167.3902	557.0038	7246.333	229310.5		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	144.9267	556.98749:151 557.00385:681 558.00812:90	
18	Unknown	9	0.2819167	0.43885	0.9890833	-1	-1	-1	-1	558.0081	689.3333	9331.825		[M-H]-	M + 1	isotope of 8	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.78667	558.00812:269 560.87085:1254 562.87085:599	
19	Unknown	80	0.2819167	0.43885	0.9890833	20.32191	20.92315	21.76489	166.4279	558.0081	849.6667	22755.73		[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	16.99333		
20	Unknown	10	0.2426833	0.4784	0.6745667	-1	-1	-1	-1	202.9878	1849	36064.84		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	26.66667	202.98778:643	
21	Unknown	37	0.2426833	0.4784	0.6745667	15.51199	16.23348	16.95497	134.47	202.9878	2428.667	59768.09		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	48.57333	202.98285:161	158.99422:49
22	Unknown	10	0.3603833	0.4784	0.8318167	-1	-1	-1	-1	471.935	3938.333	47272.27		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	78.76667	471.93503:1648	
23	Unknown	26	0.3603833	0.4784	0.8318167	14.18926	14.91075	15.75249	119.1883	471.935	4455	124723.6	471.943	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	89.1	471.93503:448	248.965:1746 471.94299:877
24	Unknown	12	0.1632333	0.5568666	0.9495167	-1	-1	-1	-1	653.5305	368.6667	2936.043		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.373333	657.34613:44	
25	Unknown	177	0.1632333	0.5568666	0.9495167	32.58721	33.18845	34.15043	262.9265	653.5305	264	8996.955		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	5.28	653.53046:28	
26	Unknown	13	0.08476666	0.5961	0.7138	-1	-1	-1	-1	223.0289	329.3333	2484.648		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.586667	225.18758:81 227.2003:1017	
27	Unknown	59	0.08476666	0.5961	0.7138	17.55621	18.2777	18.99918	150.5451	223.0289	260.6667	7279.807		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	5.213333	223.02885:45	223.0237:40
28	Unknown	13	0.124	0.5961	1.067533	-1	-1	-1	-1	239.0582	1069	11630.84		[M-H]-	M + 0	similar chromatogram in higher mz_17	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	21.38	239.05283:232 241.21237:454 242.99875:523	
29	Unknown	60	0.124	0.5961	1.067533	17.55621	18.39794	19.35993	150.9659	239.0582	993.6667	29819.07		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	19.87333	239.05283:63 239.06351:132	224.02669:35
30	Unknown	13	0.08476666	0.5961	1.067533	-1	-1	-1	-1	239.0635	1248.667	14441.52		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	24.97333	239.05283:214 241.14792:80	
31	Unknown	60	0.08476666	0.5961	1.067533	17.55621	18.39794	19.35993	150.9658	239.0635	1047.333	31651.65		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	20.94667	239.05283:45 239.06351:85	
32	Unknown	13	0.2426833	0.5961	0.9495167	-1	-1	-1	-1	446.1688	364.6667	2575.277		[M-H]-	M + 0	similar chromatogram in higher mz_21; similar chromatogram in higher mz_25	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.293334	447.17737:1305	
33	Unknown	139	0.2426833	0.5961	0.9495167	27.0558	27.89754	28.49878	223.1498	446.1688	265.3333	7893.082	447.177	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	5.306667	446.17609:25 447.17737:143	431.19101:40 447.177:391
34	Unknown	13	0.08476666	0.5961	1.30325	-1	-1	-1	-1	447.1774	2862	27299.53		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	57.24	447.13348:456 447.17737:1443	
35	Unknown	140	0.08476666	0.5961	1.30325	27.17605	28.01778	29.46076	224.0957	447.1774	1835.333	79551.28		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	36.70667	447.17007:138	447.17007:81 448.18707:32
36	Unknown	13	0.1632333	0.5961	1.0283	-1	-1	-1	-1	447.1774	2862	27299.53		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	57.24	447.17737:1305	
37	Unknown	140	0.1632333	0.5961	1.0283	27.17605	28.01778	29.46076	224.0957	447.1774	1833.667	78086.66		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	36.67333	447.17007:113	447.17007:60 448.17975:55
38	Unknown	13	0.08476666	0.5961	1.381717	-1	-1	-1	-1	485.2798	46229.67	450320.3		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	924.5933	485.27979:19640 486.27823:5715 487.28531:1017	
39	Unknown	144	0.08476666	0.5961	1.381717	27.41654	28.49878	30.42274	227.4105	485.2798	30104.67	1138443	485.28	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	602.0933	485.25693:37 485.27979:3034 486.27823:835 487.28531:122	465.17599:12 473.28101:302 485.28:14566 486.28601:4420 487.285:1148
40	Unknown	13	0.124	0.5961	1.067533	-1	-1	-1	-1	485.3483	3957.333	32186.42		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	79.14667	485.27979:19640 486.27823:5715 487.28531:1017	
41	Unknown	144	0.124	0.5961	1.067533	27.41654	28.49878	29.46076	227.4097	485.3483	2764.333	94637.52	485.28	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	55.28667	485.25693:37 485.27979:3034 486.27823:835 487.28531:122	465.17599:12 473.28101:302 485.28:14566 486.28601:4420 487.285:1145
42	Unknown	13	0.2426833	0.5961	0.9495167	-1	-1	-1	-1	485.4474	400	2824.801		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8	485.27979:19640 486.27823:5715 487.28531:1017	
43	Unknown	144	0.2426833	0.5961	0.9495167	27.77729	28.49878	29.10002	227.4084	485.4474	338	8657.845	485.28	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.76	485.25693:37 485.27979:3034 486.27823:835 487.28531:122	465.17599:12 473.28101:302 485.28:14542 486.28601:4419 487.285:1141
44	Unknown	13	0.08476666	0.5961	1.342483	-1	-1	-1	-1	486.2782	12702.33	121583.1		[M-H]-	M + 1	isotope of 19	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	254.0467	486.27823:5715 487.28531:1017	
45	Unknown	143	0.08476666	0.5961	1.342483	27.41654	28.37853	29.8215	226.4393	486.2782	7819	310816.9	485.28	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	156.38	486.27823:875 487.28531:126	446.16901:9 464.177:0 473.28101:302 485.26501:1645 485.28:14566 486.28601:4420 487.285:1148
46	Unknown	13	0.08476666	0.5961	0.8318167	-1	-1	-1	-1	486.3621	825.6667	7501.01		[M-H]-	M + 1	isotope of 20	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	16.51333	486.27823:5715 487.28531:1017	
47	Unknown	143	0.08476666	0.5961	0.8318167	27.65704	28.37853	29.22026	226.4383	486.3621	564.3333	17871.24	485.28	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.28667	486.27823:875 487.28531:126	446.16901:9 464.177:0 473.28101:302 485.26501:1605 485.28:14137 486.28601:4228 487.285:1109
48	Unknown	13	0.2024667	0.5961	0.9890833	-1	-1	-1	-1	661.5198	598.6667	4868.935		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.97333	661.4931:177 663.52246:472	
49	Unknown	182	0.2024667	0.5961	0.9890833	32.10622	33.0682	33.78969	261.9097	661.5198	422.6667	14920.39		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.453333		281.24582:22
