"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription"
"01_malic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",133.014247,2.13,116.25,"20V",93656,61684,15.6,-0.0700000000000003,2.27217204301076,2,0.963461783397748,0,0,0.023094010767585,0.0266666666666667,7.07271753524297,17.6333333333333,0.984518815135472,"None"
"01_malic acid","CJ019_WT_IMS_5ul_R1_01_40V",133.014247,2.13,116.25,"40V",67344,66231,13.3,-0.0700000000000003,2.27217204301076,1,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"01_malic acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",133.014247,2.13,116.25,"20V",126271,92326,14.1,-0.0700000000000003,2.27243010752688,3,0.98912387653201,0,0,0.0216024689946929,6.93889390390723e-18,5.78071506534154,15.35,0.983848030286333,"None"
"01_malic acid","CJ019_WT_IMS_5ul_R2_02_40V",133.014247,2.12,116.25,"40V",78963,78307,13.2,-0.0800000000000001,2.27243010752688,1,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"01_malic acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",133.014247,2.13,116.25,"20V",86395,61672,15.9,-0.0700000000000003,2.27217204301076,3,0.982978538277618,0,0,0.0208166599946613,0.025,8.16266908962177,14.175,0.986357838659142,"None"
"01_malic acid","CJ019_WT_IMS_5ul_R3_03_40V",133.014247,2.13,116.25,"40V",79721,79721,13.8,-0.0700000000000003,2.27217204301076,0,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"01_malic acid","Muck_1642_IMS_5ul_R2_05_20V_redo",133.014247,2.09,116.25,"20V",379280,316376,13.7,-0.11,1.39088172043011,3,0.999064921760394,0.0230940107675851,-0.02,0.0518812747209113,0.0225,3.46458270695525,18.25,0.982535593129744,"None"
"01_malic acid","Muck_1642_IMS_5ul_R2_05_40V",133.014247,2.09,116.25,"40V",315115,201.168152866242,11.8,-0.11,-0.370408602150536,1,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"01_malic acid","Muck_1642_IMS_5ul_R3_06_20V_redo",133.014247,2.09,116.25,"20V",219878,156866,16.4,-0.11,2.27217204301076,3,0.978252449125136,0.0230940107675851,-0.02,0.0251661147842358,0.035,6.54497262535655,15.25,0.984466936134392,"None"
"01_malic acid","Muck_1642_IMS_5ul_R3_06_40V",133.014247,2.13,116.25,"40V",155342,155342,14.7,-0.0700000000000003,2.27217204301076,0,NA,NA,NA,NA,NA,NA,NA,NA,"None"
