"PrecursorName","Replicate","Total.Area"
"01_malic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",93656
"01_malic acid","CJ019_WT_IMS_5ul_R1_01_40V",67344
"01_malic acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",126271
"01_malic acid","CJ019_WT_IMS_5ul_R2_02_40V",78963
"01_malic acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",86395
"01_malic acid","CJ019_WT_IMS_5ul_R3_03_40V",79721
"01_malic acid","Muck_1642_IMS_5ul_R2_05_20V_redo",379280
"01_malic acid","Muck_1642_IMS_5ul_R2_05_40V",315115
"01_malic acid","Muck_1642_IMS_5ul_R3_06_20V_redo",219878
"01_malic acid","Muck_1642_IMS_5ul_R3_06_40V",155342
"01_malic acid","Muck_2224_IMS_5ul_R1_07_20V_redo",291286
"01_malic acid","Muck_2224_IMS_5ul_R1_07_40V",188339
"01_malic acid","Muck_2224_IMS_5ul_R2_08_20V_redo",264889
"01_malic acid","Muck_2224_IMS_5ul_R2_08_40V",237139
"01_malic acid","Muck_2224_IMS_5ul_R3_09_20V_redo",250099
"01_malic acid","Muck_2224_IMS_5ul_R3_09_40V",183066
"01_malic acid","Muck_5042_IMS_5ul_R1_10_20V_redo",207562
"01_malic acid","Muck_5042_IMS_5ul_R1_10_40V",163608
"01_malic acid","Muck_5042_IMS_5ul_R2_11_20V_redo",145799
"01_malic acid","Muck_5042_IMS_5ul_R2_11_40V",85651
"01_malic acid","Muck_5042_IMS_5ul_R3_12_20V_redo",124126
"01_malic acid","Muck_5042_IMS_5ul_R3_12_40V",61569
"05_isocitric acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",6662249
"05_isocitric acid","CJ019_WT_IMS_5ul_R1_01_40V",4551509
"05_isocitric acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",7889477
"05_isocitric acid","CJ019_WT_IMS_5ul_R2_02_40V",4836188
"05_isocitric acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",3969863
"05_isocitric acid","CJ019_WT_IMS_5ul_R3_03_40V",2096087
"05_isocitric acid","Muck_1642_IMS_5ul_R2_05_20V_redo",1569550
"05_isocitric acid","Muck_1642_IMS_5ul_R2_05_40V",1056384
"05_isocitric acid","Muck_1642_IMS_5ul_R3_06_20V_redo",733437
"05_isocitric acid","Muck_1642_IMS_5ul_R3_06_40V",541964
"05_isocitric acid","Muck_2224_IMS_5ul_R1_07_20V_redo",1036181
"05_isocitric acid","Muck_2224_IMS_5ul_R1_07_40V",673250
"05_isocitric acid","Muck_2224_IMS_5ul_R2_08_20V_redo",1326476
"05_isocitric acid","Muck_2224_IMS_5ul_R2_08_40V",812227
"05_isocitric acid","Muck_2224_IMS_5ul_R3_09_20V_redo",714524
"05_isocitric acid","Muck_2224_IMS_5ul_R3_09_40V",375885
"05_isocitric acid","Muck_5042_IMS_5ul_R1_10_20V_redo",965482
"05_isocitric acid","Muck_5042_IMS_5ul_R1_10_40V",537816
"05_isocitric acid","Muck_5042_IMS_5ul_R2_11_20V_redo",347728
"05_isocitric acid","Muck_5042_IMS_5ul_R2_11_40V",302995
"05_isocitric acid","Muck_5042_IMS_5ul_R3_12_20V_redo",299808
"05_isocitric acid","Muck_5042_IMS_5ul_R3_12_40V",277189
"06_citric acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",1152055
"06_citric acid","CJ019_WT_IMS_5ul_R1_01_40V",673260
"06_citric acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",1266298
"06_citric acid","CJ019_WT_IMS_5ul_R2_02_40V",810680
"06_citric acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",1212335
"06_citric acid","CJ019_WT_IMS_5ul_R3_03_40V",638667
"06_citric acid","Muck_1642_IMS_5ul_R2_05_20V_redo",1831670
"06_citric acid","Muck_1642_IMS_5ul_R2_05_40V",1057742
"06_citric acid","Muck_1642_IMS_5ul_R3_06_20V_redo",1467099
"06_citric acid","Muck_1642_IMS_5ul_R3_06_40V",1127362
"06_citric acid","Muck_2224_IMS_5ul_R1_07_20V_redo",1670953
"06_citric acid","Muck_2224_IMS_5ul_R1_07_40V",1108775
"06_citric acid","Muck_2224_IMS_5ul_R2_08_20V_redo",1821506
"06_citric acid","Muck_2224_IMS_5ul_R2_08_40V",1029545
"06_citric acid","Muck_2224_IMS_5ul_R3_09_20V_redo",1839193
"06_citric acid","Muck_2224_IMS_5ul_R3_09_40V",719009
