"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription","ConfidenceLevel"
"01_malic acid","Muck_2224_IMS_5ul_R3_09_20V_redo",133.014247,2.08,116.25,"20V",250099,177887,14.4,-0.12,-0.370408602150536,3,0.984098267868419,0.0230940107675851,-0.02,0.0125830573921179,0.0175,3.53211456967825,16.525,0.976098218524416,"RT-CCS-DIA",2
"03_cis-aconitic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",173.009162,1.93,124.63,"20V",38793,17776,-14,-0.0700000000000001,NA,2,0.783970829874407,0.0611010092660778,-0.0666666666666666,0.023094010767585,0.0133333333333333,17.0062733523054,3.26666666666667,0.92781518340636,"None",0
"05_isocitric acid","Muck_1642_IMS_5ul_R3_06_20V_redo",191.019727,3.3,127.43,"20V",733437,45.9993685729749,12.5,-0.2,0.192105469669621,4,0.986945554511781,0.0563914887194867,-0.0340000000000001,0.0897217922246318,0.06,8.53973067491007,5.52,0.988129706074587,"RT-CCS-DIA",2
"06_citric acid","Muck_5042_IMS_5ul_R2_11_20V_redo",191.019727,4.68,127.49,"20V",1216958,2.1910577469551,12.5,-0.220000000000001,0.144952545297678,6,0.969661907894033,0.0453557367611073,-0.0228571428571429,0.0587164291116128,0.0714285714285714,10.7524969414639,11.0571428571429,0.987143568620784,"RT-CCS-DIA",2
"07_succinic acid","Muck_5042_IMS_5ul_R1_10_20V_redo",117.019333,1.77,116.56,"20V",461287,734.404021937843,13.6,-0.03,-0.350291695264239,2,0.999730360291528,0.0230940107675851,-0.0133333333333333,0,0,12.2118794622286,20.8,0.991127707733633,"RT-CCS-DIA",2
"08_alpha-ketoglutaric acid (aKG)","Muck_1642_IMS_5ul_R2_05_40V",145.014247,1.78,121.43,"40V",8853,8853,7.7,-0.02,-0.0658815778638001,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"09_lactic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",89.024418,1.17,113,"20V",220366,220366,10.6,-0.03,0.196194690265485,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"11_fumaric acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",115.003683,2.13,117.64,"20V",18590,18590,13,-0.0700000000000003,0.667205032301932,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"12_pyruvic acid","Muck_2224_IMS_5ul_R3_09_40V",87.008768,0.91,111.67,"40V",9053,9053,13.5,0.01,-0.247335900420886,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"13_aspartic acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",132.030232,2.13,119.13,"20V",1501247,1293344,17.8,-0.0700000000000003,-0.134391001427012,3,0.999953358973144,0,0,0.005,-0.0025,20.8178409062996,16.125,0.994357591811979,"RT-CCS-DIA",2
"15_glyceraldehyde-3-P (G3P)","CJ019_WT_IMS_5ul_R1_01_20V_redo",168.990749,2.33,124.95,"20V",65047,65047,13.6,-0.0699999999999998,-0.189275710284119,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"16_phosphoenolpyruvate (PEP)","CJ019_WT_IMS_5ul_R1_01_40V",166.975099,3.15,121.84,"40V",262106,262106,11.7,-0.15,-0.0313525935653343,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"17_glucose 6-phosphate (G6P)","CJ019_WT_IMS_5ul_R3_03_20V_redo",259.022443,3.5,147.27,"20V",14506082,7.17180118841394,16.4,-0.1,-0.130780199633326,6,0.987414376800241,0.021380899352994,-0.0171428571428572,0.0222539456105675,0.00428571428571428,6.49061593672706,18.5142857142857,0.986600036425881,"RT-CCS-DIA",2
"18_fructose 6-phosphate (F6P)","Muck_2224_IMS_5ul_R2_08_20V_redo",259.022443,2.91,144.3,"20V",4679218,13.1853095645787,14.5,-0.29,-0.113097713097725,4,0.990584245220703,0.0357770876399967,-0.016,0.0364691650576209,0.00599999999999999,7.99449810807408,15.48,0.989192508283367,"RT-CCS-DIA",2
"19_fructose 1,6-diphosphate (F16DP)","Muck_1642_IMS_5ul_R2_05_40V",338.988774,4.95,155,"40V",888610,604964,11.1,-0.0499999999999998,0.040645161290315,6,0.986243580736303,0.133897615470073,0.0257142857142858,0.0644020112078734,-0.0114285714285714,11.0015799731112,8.68571428571429,0.992816698658097,"RT-CCS-DIA",2
"20_6-phosphogluconic acid (6PG)","Muck_5042_IMS_5ul_R1_10_40V",275.017358,4.51,144.08,"40V",1224582,589.482946119624,11.6,-0.29,-0.244863964464188,3,0.999993155785182,0.0692820323027551,-0.0600000000000001,0.135984067694222,0.1325,6.91200646218834,10.525,0.982117843490931,"RT-CCS-DIA",2
"21_3-phosphoglyceric acid (3PG)","Muck_2224_IMS_5ul_R1_07_20V_redo",184.985664,4.75,125.05,"20V",410135,4.71922711721352,16.1,-0.0499999999999998,-0.0851659336265469,3,0.990250085796937,0.0923760430703402,-0.0800000000000001,0.0547722557505166,-0.02,7.0528363088902,13.825,0.989250799847034,"RT-CCS-DIA",2
"22_quinic acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",191.0561,1.35,134.75,"20V",234605,56823,12.4,-0.15,1.4077922077922,6,0.44315565420493,0.0885867882227313,0.0514285714285715,0.0597215762238964,0.1,19.3076718036171,20.6428571428571,0.214073759525677,"None",0
"23_protocatechuic acid","Muck_2224_IMS_5ul_R3_09_20V_redo",153.0193,1.18,123.03,"20V",21403,13262,9,-0.02,-0.351784117694871,1,0.996862404056595,0,0,0.00707106781186548,-0.005,14.0007142674936,-0.9,0.98842916697798,"RT-CCS-DIA",2
"26_mevalonic acid","CJ019_WT_IMS_5ul_R1_01_40V",147.0663,0.9,128.97,"40V",7985,7985,6.6,0,-1.49321547646739,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"27_mevalonate-5-phosphate (mev-5P)","Muck_2224_IMS_5ul_R3_09_20V_redo",227.0326,2.83,138.11,"20V",50433,122,64.1,-0.17,NA,3,0.317645850890911,0.0382970843102536,-0.05,0.0556027577253743,-0.0825,28.8805586280229,22.4,0.02027868353124,"None",0
