Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Ion Mobility MS1,Ion Mobility Fragment,Collisional Cross Section,Area,Total Area,Height,Background,Mass Error PPM,Fwhm,Explicit Ion Mobility High Energy Offset,Explicit Retention Time
01_malic acid,Standards,CJ019_WT_IMS_5ul_R1_01_20V_redo,133.014247,-1,133.014247,-1,precursor,2.13,13.64,13.53,116.25,61684,93656,6036,0,15.6,0.16,-0.013301757,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R1_01_40V,133.014247,-1,133.014247,-1,precursor,2.13,13.64,13.53,116.25,66231,67344,6484,0,13.3,0.16,-0.013301757,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R2_02_20V_redo,133.014247,-1,133.014247,-1,precursor,2.13,13.64,13.53,116.25,92326,126271,10928,0,14.1,0.14,-0.013301757,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R2_02_40V,133.014247,-1,133.014247,-1,precursor,2.12,13.64,13.53,116.25,78307,78963,7497,0,13.2,0.16,-0.013301757,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R3_03_20V_redo,133.014247,-1,133.014247,-1,precursor,2.13,13.64,13.53,116.25,61672,86395,6001,0,15.9,0.15,-0.013301757,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R3_03_40V,133.014247,-1,133.014247,-1,precursor,2.13,13.64,13.53,116.25,79721,79721,8365,0,13.8,0.14,-0.013301757,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R2_05_20V_redo,133.014247,-1,133.014247,-1,precursor,2.09,13.64,13.53,116.25,316376,379280,25260,0,13.7,0.2,-0.013301757,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R2_05_40V,133.014247,-1,133.014247,-1,precursor,2.09,13.64,13.53,116.25,314265,315115,23260,1569,11.8,0.22,-0.013301757,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R3_06_20V_redo,133.014247,-1,133.014247,-1,precursor,2.09,13.64,13.53,116.25,156866,219878,14025,0,16.4,0.18,-0.013301757,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R3_06_40V,133.014247,-1,133.014247,-1,precursor,2.13,13.64,13.53,116.25,155342,155342,12713,0,14.7,0.2,-0.013301757,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R1_07_20V_redo,133.014247,-1,133.014247,-1,precursor,2.09,13.64,13.53,116.25,227268,291286,19828,0,13.9,0.18,-0.013301757,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R1_07_40V,133.014247,-1,133.014247,-1,precursor,2.09,13.64,13.53,116.25,187522,188339,16114,0,12.6,0.19,-0.013301757,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R2_08_20V_redo,133.014247,-1,133.014247,-1,precursor,2.09,13.64,13.53,116.25,201152,264889,16110,0,16.6,0.19,-0.013301757,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R2_08_40V,133.014247,-1,133.014247,-1,precursor,2.09,13.64,13.53,116.25,234447,237139,19556,0,11.8,0.18,-0.013301757,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R3_09_20V_redo,133.014247,-1,133.014247,-1,precursor,2.08,13.64,13.53,116.25,177887,250099,15803,0,14.4,0.16,-0.013301757,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R3_09_40V,133.014247,-1,133.014247,-1,precursor,2.08,13.64,13.53,116.25,182052,183066,15670,0,13.6,0.17,-0.013301757,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R1_10_20V_redo,133.014247,-1,133.014247,-1,precursor,2.08,13.64,13.53,116.25,152337,207562,10768,0,14,0.23,-0.013301757,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R1_10_40V,133.014247,-1,133.014247,-1,precursor,2.08,13.64,13.53,116.25,163115,163608,12578,0,15.4,0.2,-0.013301757,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R2_11_20V_redo,133.014247,-1,133.014247,-1,precursor,2.13,13.64,13.53,116.25,92399,145799,7025,0,17.6,0.21,-0.013301757,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R2_11_40V,133.014247,-1,133.014247,-1,precursor,2.09,13.64,13.53,116.25,84427,85651,6734,0,15.4,0.2,-0.013301757,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R3_12_20V_redo,133.014247,-1,133.014247,-1,precursor,2.13,13.64,13.53,116.25,73830,124126,5609,0,17.7,0.21,-0.013301757,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R3_12_40V,133.014247,-1,133.014247,-1,precursor,2.09,13.64,13.53,116.25,59593,61569,5765,8820,17.6,0.16,-0.013301757,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R1_01_20V_redo,133.014247,-1,115.00259,-1,115ref,2.13,13.64,13.53,116.25,12115,93656,1722,0,11.8,0.12,-0.053921962,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R1_01_40V,133.014247,-1,115.00259,-1,115ref,1.9,13.64,13.53,116.25,0,67344,0,0,#N/A,0.47,-0.053921962,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R2_02_20V_redo,133.014247,-1,115.00259,-1,115ref,2.13,13.64,13.53,116.25,10035,126271,1360,0,10.1,0.12,-0.053921962,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R2_02_40V,133.014247,-1,115.00259,-1,115ref,1.89,13.64,13.53,116.25,0,78963,0,0,#N/A,0.51,-0.053921962,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R3_03_20V_redo,133.014247,-1,115.00259,-1,115ref,2.13,13.64,13.53,116.25,8331,86395,1194,0,12,0.12,-0.053921962,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R3_03_40V,133.014247,-1,115.00259,-1,115ref,1.86,13.64,13.53,116.25,0,79721,0,0,#N/A,0.59,-0.053921962,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R2_05_20V_redo,133.014247,-1,115.00259,-1,115ref,2.13,13.64,13.53,116.25,15201,379280,1786,0,21.8,0.14,-0.053921962,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R2_05_40V,133.014247,-1,115.00259,-1,115ref,1.89,13.64,13.53,116.25,0,315115,0,0,#N/A,0.59,-0.053921962,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R3_06_20V_redo,133.014247,-1,115.00259,-1,115ref,2.13,13.64,13.53,116.25,16240,219878,1781,0,16,0.14,-0.053921962,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R3_06_40V,133.014247,-1,115.00259,-1,115ref,1.85,13.64,13.53,116.25,0,155342,0,0,#N/A,0.67,-0.053921962,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R1_07_20V_redo,133.014247,-1,115.00259,-1,115ref,2.13,13.64,13.53,116.25,13040,291286,1664,0,15.5,0.12,-0.053921962,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R1_07_40V,133.014247,-1,115.00259,-1,115ref,1.89,13.64,13.53,116.25,0,188339,0,0,#N/A,0.59,-0.053921962,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R2_08_20V_redo,133.014247,-1,115.00259,-1,115ref,2.09,13.64,13.53,116.25,17671,264889,2328,0,16.1,0.12,-0.053921962,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R2_08_40V,133.014247,-1,115.00259,-1,115ref,1.93,13.64,13.53,116.25,0,237139,0,0,#N/A,0.59,-0.053921962,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R3_09_20V_redo,133.014247,-1,115.00259,-1,115ref,2.12,13.64,13.53,116.25,18345,250099,2288,0,14.7,0.13,-0.053921962,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R3_09_40V,133.014247,-1,115.00259,-1,115ref,1.89,13.64,13.53,116.25,0,183066,0,0,#N/A,0.59,-0.053921962,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R1_10_20V_redo,133.014247,-1,115.00259,-1,115ref,2.16,13.64,13.53,116.25,16730,207562,1776,0,16,0.15,-0.053921962,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R1_10_40V,133.014247,-1,115.00259,-1,115ref,1.77,13.64,13.53,116.25,0,163608,0,0,#N/A,0.67,-0.053921962,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R2_11_20V_redo,133.014247,-1,115.00259,-1,115ref,2.13,13.64,13.53,116.25,11106,145799,1358,0,10.6,0.13,-0.053921962,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R2_11_40V,133.014247,-1,115.00259,-1,115ref,1.86,13.64,13.53,116.25,0,85651,0,0,#N/A,0.63,-0.053921962,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R3_12_20V_redo,133.014247,-1,115.00259,-1,115ref,2.13,13.64,13.53,116.25,13448,124126,1470,0,16.1,0.12,-0.053921962,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R3_12_40V,133.014247,-1,115.00259,-1,115ref,2.02,13.64,13.53,116.25,0,61569,0,0,#N/A,0.43,-0.053921962,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R1_01_20V_redo,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,19857,93656,2788,0,25.5,0.12,-0.153140078,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R1_01_40V,133.014247,-1,71.01263,-1,71ref,2.09,13.64,13.53,116.25,1113,67344,185,0,30.8,0.11,-0.153140078,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R2_02_20V_redo,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,20084,126271,2495,0,23.6,0.13,-0.153140078,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R2_02_40V,133.014247,-1,71.01263,-1,71ref,2.16,13.64,13.53,116.25,656,78963,118,0,-4,0.09,-0.153140078,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R3_03_20V_redo,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,15210,86395,1879,0,24.2,0.13,-0.153140078,2.2
01_malic acid,Standards,CJ019_WT_IMS_5ul_R3_03_40V,133.014247,-1,71.01263,-1,71ref,1.86,13.64,13.53,116.25,0,79721,0,0,#N/A,0.59,-0.153140078,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R2_05_20V_redo,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,39596,379280,4649,0,19.8,0.13,-0.153140078,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R2_05_40V,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,850,315115,120,0,8,0.12,-0.153140078,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R3_06_20V_redo,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,45474,219878,4948,0,22.2,0.14,-0.153140078,2.2
01_malic acid,Standards,Muck_1642_IMS_5ul_R3_06_40V,133.014247,-1,71.01263,-1,71ref,1.85,13.64,13.53,116.25,0,155342,0,0,#N/A,0.67,-0.153140078,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R1_07_20V_redo,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,40126,291286,4221,0,25.8,0.15,-0.153140078,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R1_07_40V,133.014247,-1,71.01263,-1,71ref,2.2,13.64,13.53,116.25,818,188339,94,0,14.2,0.15,-0.153140078,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R2_08_20V_redo,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,38528,264889,4338,0,26.6,0.13,-0.153140078,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R2_08_40V,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,2692,237139,394,0,9.7,0.11,-0.153140078,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R3_09_20V_redo,133.014247,-1,71.01263,-1,71ref,2.12,13.64,13.53,116.25,45742,250099,4902,0,21.8,0.14,-0.153140078,2.2
01_malic acid,Standards,Muck_2224_IMS_5ul_R3_09_40V,133.014247,-1,71.01263,-1,71ref,2.12,13.64,13.53,116.25,405,183066,60,0,11.4,0.11,-0.153140078,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R1_10_20V_redo,133.014247,-1,71.01263,-1,71ref,2.12,13.64,13.53,116.25,31725,207562,3653,0,24.2,0.13,-0.153140078,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R1_10_40V,133.014247,-1,71.01263,-1,71ref,2.12,13.64,13.53,116.25,493,163608,80,0,11.8,0.11,-0.153140078,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R2_11_20V_redo,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,37013,145799,4439,0,22.8,0.13,-0.153140078,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R2_11_40V,133.014247,-1,71.01263,-1,71ref,2.25,13.64,13.53,116.25,1225,85651,119,0,18.5,0.16,-0.153140078,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R3_12_20V_redo,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,33874,124126,3914,0,22,0.13,-0.153140078,2.2
01_malic acid,Standards,Muck_5042_IMS_5ul_R3_12_40V,133.014247,-1,71.01263,-1,71ref,2.13,13.64,13.53,116.25,1976,61569,294,0,13.9,0.11,-0.153140078,2.2
