"MoleculeGroup","PrecursorName","PrecursorMz","ProductName","ProductMz","Explicit Retention Time","Collisional Cross Section (sq A)","Explicit Retention Time Window","PrecursorCharge","ProductCharge"
"raw10032","raw10032",249.14503,"raw10032-f1",249.511,7.862,198.4783,2,-1,-1
"raw10032","raw10032",249.14503,"raw10032-f3",250.39101,7.862,198.4783,2,-1,-1
"raw10032","raw10032",249.14503,"raw10032-f2",250.97701,7.862,198.4783,2,-1,-1
"raw10803","raw10803",252.07379,"raw10803-f2",88.04,1.459,152.1827,2,-1,-1
"raw10803","raw10803",252.07379,"raw10803-f5",147.024,1.459,152.1827,2,-1,-1
"raw10803","raw10803",252.07379,"raw10803-f4",179.04601,1.459,152.1827,2,-1,-1
"raw10803","raw10803",252.07379,"raw10803-f1",192.049,1.459,152.1827,2,-1,-1
"raw10803","raw10803",252.07379,"raw10803-f3",193.052,1.459,152.1827,2,-1,-1
"raw10817","raw10817",252.931,"raw10817-f4",78.95818,7.349,135.474,2,-1,-1
"raw10817","raw10817",252.931,"raw10817-f3",156.93887,7.349,135.474,2,-1,-1
"raw10817","raw10817",252.931,"raw10817-f5",197.95499,7.349,135.474,2,-1,-1
"raw10817","raw10817",252.931,"raw10817-f1",216.91075,7.349,135.474,2,-1,-1
"raw10817","raw10817",252.931,"raw10817-f2",234.92223,7.349,135.474,2,-1,-1
"raw10825","raw10825",252.931,"raw10825-f2",87.011,5.481,135.474,2,-1,-1
"raw10825","raw10825",252.931,"raw10825-f1",216.90601,5.481,135.474,2,-1,-1
"raw10825","raw10825",252.931,"raw10825-f3",234.91701,5.481,135.474,2,-1,-1
"raw10978","raw10978",255.03072,"raw10978-f3",88.04,1.146,151.1135,2,-1,-1
"raw10978","raw10978",255.03072,"raw10978-f1",137.985,1.146,151.1135,2,-1,-1
"raw10978","raw10978",255.03072,"raw10978-f2",257.078,1.146,151.1135,2,-1,-1
"raw10984","raw10984",255.05832,"raw10984-f4",88.036,1.186,151.1127,2,-1,-1
"raw10984","raw10984",255.05832,"raw10984-f7",108.901,1.186,151.1127,2,-1,-1
"raw10984","raw10984",255.05832,"raw10984-f2",114.023,1.186,151.1127,2,-1,-1
"raw10984","raw10984",255.05832,"raw10984-f1",115.018,1.186,151.1127,2,-1,-1
"raw10984","raw10984",255.05832,"raw10984-f3",125.029,1.186,151.1127,2,-1,-1
"raw10984","raw10984",255.05832,"raw10984-f6",129.01601,1.186,151.1127,2,-1,-1
"raw10984","raw10984",255.05832,"raw10984-f8",143.047,1.186,151.1127,2,-1,-1
"raw10984","raw10984",255.05832,"raw10984-f5",199.037,1.186,151.1127,2,-1,-1
"raw10985","raw10985",255.05832,"raw10985-f1",115.018,1.186,152.0936,2,-1,-1
"raw10985","raw10985",255.05832,"raw10985-f4",125.029,1.186,152.0936,2,-1,-1
"raw10985","raw10985",255.05832,"raw10985-f2",143.043,1.186,152.0936,2,-1,-1
"raw10985","raw10985",255.05832,"raw10985-f3",187.041,1.186,152.0936,2,-1,-1
"raw11095","raw11095",256.77878,"raw11095-f2",114.929,0.871,113.7992,2,-1,-1
"raw11095","raw11095",256.77878,"raw11095-f1",116.933,0.871,113.7992,2,-1,-1
"raw11095","raw11095",256.77878,"raw11095-f3",171.85001,0.871,113.7992,2,-1,-1
"raw11111","raw11111",256.94504,"raw11111-f2",78.95818,4.988,153.0189,2,-1,-1
"raw11111","raw11111",256.94504,"raw11111-f1",96.96358,4.988,153.0189,2,-1,-1
