"PrecursorName.Replicate","PrecursorName","Label","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","featTarget","Total.Area","Precursor.Mz","Precursor.SignalToNoise","CountFragments"
"raw10984.Pput_CJ019_WT_IMS_5ul_R2_02_20V_redo_12Sep","raw10984","target",0.999926390778015,0,0.04,0.005,0.0025,19.4804175177707,21.7,0.991735631660882,10984,382051,255.05832,171359,4
"raw12296.Pput_CJ019_WT_IMS_5ul_R1_01_20V_redo_12Sep","raw12296","target",0.960134787775053,0.145109154317247,0.0983333333333335,0.049966655548142,-0.0216666666666667,20.598219987821,11.8333333333333,0.984643661137925,12296,287429,272.92859,3142,6
"raw12296.Pput_Muck_5042_IMS_5ul_R2_11_20V_redo_12Sep","raw12296","target",0.999943468468672,0,0.0800000000000001,0.00577350269189626,0.0366666666666667,16.5741767015238,-1.36666666666667,0.989455516404976,12296,164667,272.92859,1170,3
"raw12298.Pput_CJ019_WT_IMS_5ul_R2_02_20V_redo_12Sep","raw12298","target",0.999347688577644,0.0382970843102536,0.0900000000000001,0.0718215380880508,-0.0325,3.5749125863439,8.5,0.982321263476775,12298,107133,272.92859,3901,4
"raw12298.Pput_Muck_1642_IMS_5ul_R3_06_20V_redo_12Sep","raw12298","target",0.999997553200866,0.132790561913614,0.156666666666667,0.10816653826392,-0.05,7.24591839129681,11.7333333333333,0.964927163159417,12298,100759,272.92859,11489,3
"raw12298.Pput_Muck_2224_IMS_5ul_R1_07_20V_redo_12Sep","raw12298","target",0.972764060575311,0.0382970843102536,0.01,0.0216024689946929,-0.02,11.9226674867665,9.45,0.992723857417797,12298,111579,272.92859,2227,4
"raw12298.Pput_Muck_2224_IMS_5ul_R2_08_20V_redo_12Sep","raw12298","target",0.99980531521657,0,0.04,0,-0.01,11.0774545812655,18.9,0.988967393808603,12298,179370,272.92859,5230,3
"raw12298.Pput_Muck_5042_IMS_5ul_R1_10_20V_redo_12Sep","raw12298","target",0.999282540331875,0.0173205080756889,0.0500000000000001,0.0737111479583199,0.0833333333333333,9.24824307639024,14.5,0.980032198151754,12298,81074,272.92859,6462,3
"raw12588.Pput_CJ019_WT_IMS_5ul_R2_02_20V_redo_12Sep","raw12588","target",0.99955512456773,0.0163299316185545,0.0466666666666667,0.00983192080250175,0.0116666666666667,24.0670452417131,20.1333333333333,0.987701628751655,12588,357907,275.05792,43525,6
"raw12588.Pput_CJ019_WT_IMS_5ul_R3_03_20V_redo_12Sep","raw12588","target",0.99996314041534,0.0163299316185545,0.0733333333333334,0.01211060141639,0.0166666666666667,20.3914361109429,20.5333333333333,0.984558570924582,12588,294732,275.05792,45351,6
