PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	6	0.0746	0.3103167	0.42835	-1	-1	-1	-1	188.9708	5286.333	86424.14		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	61.25333	188.97079:1894 189.11343:78	
1	Unknown	31	0.0746	0.3103167	0.42835	14.30951	15.2715	16.47398	126.7656	188.9708	5947.333	174607.3		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	118.9467	188.96129:47 188.97079:480	
2	w/o MS2:4-Hydroxy-6-methyl-2-pyrone	7	0.0746	0.3498833	0.5460334	-1	-1	-1	-1	125.0254	389.6667	3355.743		[M-H]-	M + 0		null	null	125.02441	C6H6O3	Pyranones and derivatives	NSYSSMYQPLSPOD-UHFFFAOYSA-N	O=C1OC(=CC(O)=C1)C	530	True	True	True	False	null	100	null	null	null	99.6	7.793334	128.03604:1615	
3	w/o MS2:4-Hydroxy-6-methyl-2-pyrone	23	0.0746	0.3498833	0.5460334	13.22728	13.94877	14.91075	119.5519	125.0254	369.3333	9891.604		[M-H]-	M + 0		null	119.563	125.02441	C6H6O3	Pyranones and derivatives	NSYSSMYQPLSPOD-UHFFFAOYSA-N	O=C1OC(=CC(O)=C1)C	510	True	True	True	False	null	100	null	null	null	99.6	7.386667		
4	Unknown	7	0.1533833	0.3498833	0.6647167	-1	-1	-1	-1	217.0024	2358.333	59403.68		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	16.05333	216.99225:195 217.00244:960	
5	Unknown	50	0.1533833	0.3498833	0.6647167	16.35373	17.19546	18.15745	141.5347	217.0024	2639.667	81679.69		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	52.79333	217.00244:245	
6	Unknown	7	0.0746	0.3498833	0.7431833	-1	-1	-1	-1	235.182	315	2767.139		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.3		
7	Unknown	64	0.0746	0.3498833	0.7431833	18.15745	18.87894	19.60042	154.6984	235.182	326	8001.305		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.52	235.1767:49 235.18201:50 235.18732:36 235.19261:27	
8	Unknown	7	0.1533833	0.3498833	0.7431833	-1	-1	-1	-1	249.9699	20378.67	541098.3		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	324.78	249.96992:8792	
9	Unknown	8	0.1533833	0.3498833	0.7431833	1.082232	12.14505	13.10703	99.22262	249.9699	26327.67	714921.9	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	526.5533	249.56551:234 249.62013:199 249.96992:2553 250.28165:60 250.4677:47	248.97:33328 249.97:1118
10	Unknown	7	0.1926167	0.3498833	0.4675667	-1	-1	-1	-1	325.1805	1496.333	19269.98		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.28	325.18048:727	
11	Unknown	96	0.1926167	0.3498833	0.4675667	22.00538	22.72687	22.96737	183.4562	325.1805	318.6667	8181.657	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.373333		183.00999:268 248.97:2372
12	Unknown	102	0.1926167	0.3498833	0.4675667	22.96737	23.44836	24.0496	189.2787	325.1805	792	30991.54		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.86667	325.18048:111	248.96494:48
13	Unknown	7	0.1533833	0.3498833	0.5460334	-1	-1	-1	-1	560.8707	16067	342902.7		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	75.28667	560.87073:6652 562.87079:2395	
14	Unknown	54	0.1533833	0.3498833	0.5460334	16.71447	17.67646	18.51819	140.3005	560.8707	19365	563539.8	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	387.3	560.87073:1768 562.87079:707	248.97:17943
15	Unknown	8	0.23185	0.3891167	0.82165	-1	-1	-1	-1	520.9305	351	3440.765		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.02		
16	Unknown	62	0.23185	0.3891167	0.82165	17.91695	18.63844	19.35993	148.2029	520.9305	381	9704.017		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.62		
17	Unknown	9	0.3103167	0.42835	0.82165	-1	-1	-1	-1	557.0037	16945	236968.1		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	338.9	556.97925:24 557.00372:6409 558.00806:620 560.85437:1350 560.87073:5834	
18	Unknown	82	0.3103167	0.42835	0.82165	20.08142	21.0434	22.00538	167.0431	557.0037	18363.67	587731.3		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	367.2733	556.98743:487 557.00372:1580 558.00806:173	248.97038:421
19	Unknown	9	0.3103167	0.42835	0.8612167	-1	-1	-1	-1	572.0391	1126.333	14160.87		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	22.52667	572.02252:54	
20	Unknown	86	0.3103167	0.42835	0.8612167	20.8029	21.52439	22.24588	170.7526	572.0391	1388	37322.6		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	27.76	572.03082:147	
21	Unknown	9	0.2710833	0.42835	1.0966	-1	-1	-1	-1	606.8434	1032	14293.57		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	20.64	606.83496:324	
22	Unknown	58	0.2710833	0.42835	1.0966	17.43596	18.15745	18.87894	143.857	606.8434	1276.333	32055.7		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	25.52667	606.83496:75	
23	Unknown	10	0.3498833	0.4675667	0.5852666	-1	-1	-1	-1	146.9655	319.6667	2495.748		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.393333		
