PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	6	0.05066667	0.2863833	0.4828667	-1	-1	-1	-1	188.0118	970	16379.5		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.35333	188.97079:1641	
1	Unknown	42	0.05066667	0.2863833	0.4828667	15.2715	15.99298	16.71447	132.7959	188.0118	1203.667	32084.55		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	24.07333	188.01176:136	
2	Unknown	7	0.05066667	0.3256167	0.6793666	-1	-1	-1	-1	127.0012	488	3451.426		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.76	128.00865:311 128.03212:1493	
3	Unknown	20	0.05066667	0.3256167	0.6793666	12.74629	13.34753	13.94877	114.2379	127.0012	488	10562.59		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.76	128.00473:66	
4	Unknown	7	0.1291333	0.3256167	0.44365	-1	-1	-1	-1	217.0024	2507.333	41501.2		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.12667	216.99225:77 217.00244:1034	
5	Unknown	52	0.1291333	0.3256167	0.44365	16.23348	17.19546	18.0372	141.5347	217.0024	2820.667	85489.13		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	56.41333	217.00244:250	173.11746:28
6	Unknown	7	0.1291333	0.3256167	0.8755167	-1	-1	-1	-1	604.8432	958.6667	19264.78		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	19.17333	604.8432:439 609.02618:116	
7	Unknown	59	0.1291333	0.3256167	0.8755167	17.31571	18.0372	18.87894	142.915	604.8432	1200.333	32705.05		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	24.00667	604.83472:72	471.93509:64
8	Unknown	9	0.05066667	0.4044167	0.5221	-1	-1	-1	-1	144.9976	403	4136.094		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.06		
9	Unknown	25	0.05066667	0.4044167	0.5221	13.70827	14.42976	15.15125	122.1036	144.9976	402	10086.4		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.04		
10	Unknown	9	0.2863833	0.4044167	0.6793666	-1	-1	-1	-1	249.3197	4136.333	76103.91		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	76.69334	248.97038:142221 249.37433:1199 249.45079:1089 249.65839:595 249.90431:401 249.97539:8104	
