PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	4	0.1678167	0.2462833	0.7961833	-1	-1	-1	-1	557.9999	1613.333	33781.08		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	32.26667	557.99988:584 560.87073:5790 562.86261:2241	
1	Unknown	80	0.1678167	0.2462833	0.7961833	20.20166	21.0434	21.76489	167.0359	557.9999	1981	54328.04		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	39.62	558.00806:194	248.97038:531
2	Unknown	6	0.20705	0.3247333	0.482	-1	-1	-1	-1	383.8736	641.3333	6040.943		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.34667	383.86682:104	
3	Unknown	27	0.20705	0.3247333	0.482	13.94877	14.67026	15.39174	117.7179	383.8736	614	16623.1	248.959	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.28	383.86682:32	248.959:641 248.97:8304
4	Unknown	7	0.20705	0.3639667	0.8354167	-1	-1	-1	-1	250.2434	469.3333	8699.82		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.386666	249.76767:466 249.96992:7869 255.22403:165	
5	Unknown	6	0.20705	0.3639667	0.8354167	1.563224	12.14505	12.74629	99.21716	250.2434	747.6667	16182.96	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.95333	249.84966:122 249.96992:2525 250.41844:50	248.97:432331 249.41299:2066 249.44501:1859 249.675:930 249.91499:511 249.97:18503
6	Unknown	7	0.2462833	0.3639667	0.8354167	-1	-1	-1	-1	557.0119	16923.67	291392.2		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	338.4733	557.00372:7688 557.99988:584 560.87073:5790	
7	Unknown	79	0.2462833	0.3639667	0.8354167	20.08142	20.92315	21.88514	166.0888	557.0119	18771	601677.7	249.981	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	375.42	556.97925:49 557.00372:1810 558.00806:187	248.97:33935 249.981:566
8	Unknown	8	0.08901667	0.4035333	0.5212333	-1	-1	-1	-1	158.9728	490.6667	4133.639		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.813334	158.97284:198	
9	Unknown	22	0.08901667	0.4035333	0.5212333	13.34753	14.06902	14.7905	118.2019	158.9728	431	12056.07		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.62	158.97284:53	
10	Unknown	8	0.2855167	0.4035333	0.6784833	-1	-1	-1	-1	249.418	3084.667	53910.8		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	60.58667	248.97038:144612 249.48901:1087 249.76767:466 249.96992:7869	
11	Unknown	6	0.2855167	0.4035333	0.6784833	1.442976	12.14505	12.86654	99.23368	249.418	4259.667	175069	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	85.19334	248.97038:40173 249.35249:389 249.48901:355 249.55457:276 249.67477:188 249.84966:122 249.96992:2525 250.41844:50	248.97:392742 249.41299:2027 249.44501:1857 249.675:929 249.91499:511 249.97:17472
12	Unknown	8	0.2855167	0.4035333	0.8746333	-1	-1	-1	-1	250.1066	887.3333	13682.38		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	17.74667	249.76767:466 249.96992:7869	
13	Unknown	6	0.2855167	0.4035333	0.8746333	1.563224	12.14505	12.86654	99.21989	250.1066	1234	30006.66	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	24.68	249.67477:188 249.84966:122 249.96992:2525 250.41844:50	248.97:445595 249.41299:2092 249.44501:1866 249.675:930 249.91499:511 249.97:18828
14	Unknown	8	0.2462833	0.4035333	0.5212333	-1	-1	-1	-1	563.864	421	4229.2		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.686666	563.86395:241	
15	Unknown	52	0.2462833	0.4035333	0.5212333	16.95497	17.67646	18.2777	140.2828	563.864	521.6667	12618.82	560.871	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.43333	563.87213:60	337.892:1111 471.92001:1002 471.935:7578 560.87097:3769 562.87097:1791
16	Unknown	9	0.2855167	0.4427667	0.8746333	-1	-1	-1	-1	250.3637	321	4618.161		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.42	249.96992:7869 255.22403:165	
17	Unknown	6	0.2855167	0.4427667	0.8746333	1.563224	12.14505	12.74629	99.21475	250.3637	481	10411.06	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.62	249.96992:2525 250.41844:50	248.97:445595 249.41299:2092 249.44501:1865 249.675:930 249.91499:511 249.97:18827
18	Unknown	9	0.2462833	0.4427667	0.7177167	-1	-1	-1	-1	471.9351	13551	245157.8		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	264.3667	471.93509:5486	
19	Unknown	33	0.2462833	0.4427667	0.7177167	14.18926	15.031	15.87274	119.8437	471.9351	15710.67	452488.3	471.935	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	314.2133	471.92007:207 471.93509:1563	116.985:36 248.959:787 248.97:10890 471.935:2607
20	Unknown	10	0.2462833	0.482	0.6389167	-1	-1	-1	-1	188.9708	4847.333	91196.64		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	38.63334	188.96129:158 188.97079:1648	
21	Unknown	35	0.2462833	0.482	0.6389167	14.42976	15.2715	15.99298	126.7656	188.9708	6051.333	167738.7		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	121.0267	188.96129:59 188.97079:446	98.97615:28
22	Unknown	10	0.2855167	0.482	0.9142	-1	-1	-1	-1	606.852	756.6667	10413.74		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.13333	606.83496:162	
23	Unknown	59	0.2855167	0.482	0.9142	17.43596	18.15745	18.75869	143.8569	606.852	900.6667	22900.03		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	18.01333		471.92758:29
24	Unknown	11	0.3639667	0.5212333	0.6389167	-1	-1	-1	-1	311.167	1480.667	18094.72		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	20.68667	311.16086:321	
25	Unknown	94	0.3639667	0.5212333	0.6389167	21.40414	22.36613	23.08762	180.8671	311.167	856.6667	32929.91		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	17.13333	311.16086:82	228.20258:32 255.22955:54 281.24036:80 283.25629:70 291.20319:27 311.16696:70
26	Unknown	104	0.3639667	0.5212333	0.6389167	23.08762	23.56861	24.41034	190.5886	311.167	411.6667	14688.3		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.233334	311.16086:41	248.97038:31 283.25629:32 311.15475:28
27	Unknown	13	0.08901667	0.5997	1.1496	-1	-1	-1	-1	420.8209	2854	25742.64		[M-H]-	M + 0	similar chromatogram in higher mz_14	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	57.08	420.82089:1434 422.81662:901	
28	Unknown	52	0.08901667	0.5997	1.1496	16.59422	17.31571	18.2777	138.5218	420.8209	2627.333	75900.59	337.892	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	52.54667	420.82089:307 422.81662:188	246.076:24 337.892:7945 339.89099:4409
29	Unknown	13	0.12825	0.5997	1.071133	-1	-1	-1	-1	422.8166	1581.333	13740.43		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	31.62667	422.81662:901	
30	Unknown	53	0.12825	0.5997	1.071133	16.71447	17.43596	18.15745	139.4629	422.8166	1682	42055.56	337.892	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	33.64	422.81662:201	248.97:302 337.892:8239 339.89099:4609
