PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	7	0.2073167	0.3645667	0.5607333	-1	-1	-1	-1	173.9967	402	4986.154		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.013333	174.95135:542	
1	Unknown	36	0.2073167	0.3645667	0.5607333	14.30951	15.031	15.75249	125.4613	173.9967	503.6667	12950.7		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.07333		
2	Unknown	8	0.2857833	0.4038	0.8363333	-1	-1	-1	-1	250.1394	828.6667	12183.73		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	16.57333	249.97539:7224	
3	Unknown	12	0.2857833	0.4038	0.8363333	11.42356	12.14505	12.86654	99.21923	250.1394	1007.667	23852.37	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	20.15333	249.65839:206 249.91525:108 249.97539:2458 250.23242:65 250.97144:47	248.97:33328
4	Unknown	8	0.24655	0.4038	0.8759	-1	-1	-1	-1	572.0391	1067.333	16202.11		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	21.34667		
5	Unknown	90	0.24655	0.4038	0.8759	20.8029	21.64464	22.36613	171.7063	572.0391	1232.667	35374.58		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	24.65333	572.03082:91	248.96494:40
6	Unknown	8	0.24655	0.4038	0.8759	-1	-1	-1	-1	572.0391	1067.333	16202.11		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	21.34667	572.03906:487	
7	Unknown	91	0.24655	0.4038	0.8759	20.8029	21.64464	22.36613	171.7063	572.0391	1161	34306.78		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	23.22	572.03082:63	
8	Unknown	9	0.1680833	0.4430333	1.229317	-1	-1	-1	-1	203.9896	529	6499.263		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.58	203.98956:202	
9	Unknown	46	0.1680833	0.4430333	1.229317	15.63224	16.23348	16.83472	134.1058	203.9896	624.6667	13520.69		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.49333	203.98956:65	
10	Unknown	9	0.3250167	0.4430333	0.71865	-1	-1	-1	-1	471.9351	13463.67	196057.1		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	252.12	471.92007:621 471.93509:5341	
11	Unknown	36	0.3250167	0.4430333	0.71865	14.18926	15.031	15.87274	119.8437	471.9351	15627.33	446839	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	312.5467	471.92007:164 471.93509:1364	248.959:883 248.97:11936
12	Unknown	9	0.2073167	0.4430333	1.032833	-1	-1	-1	-1	604.8432	970	19988.12		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	19.4	604.8432:415 606.83496:144	
13	Unknown	62	0.2073167	0.4430333	1.032833	17.43596	18.15745	18.87894	143.8675	604.8432	1218	34162.45		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	24.36	604.83472:56	77.03723:28
14	Unknown	9	0.2857833	0.4430333	0.8759	-1	-1	-1	-1	865.0355	505.3333	7378.174		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.10667	865.0152:188 865.03552:488	
15	Unknown	105	0.2857833	0.4430333	0.8759	22.60662	23.44836	24.16985	184.5347	865.0355	531.3333	16998.26		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.62667	865.03552:129	183.0099:78 197.02194:27
16	Unknown	10	0.3250167	0.4822667	0.6401833	-1	-1	-1	-1	188.9708	4794.667	70327.39		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	51.40667	188.97079:1647 190.96783:58	
17	Unknown	38	0.3250167	0.4822667	0.6401833	14.42976	15.2715	16.11323	126.7656	188.9708	5345.333	155018.9		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	106.9067	188.96129:53 188.97079:417	
18	Unknown	10	0.3250167	0.4822667	0.7578833	-1	-1	-1	-1	250.2324	498.3333	6637.423		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.966666	249.97539:7224 255.22403:119	
19	Unknown	12	0.3250167	0.4822667	0.7578833	11.42356	12.14505	12.86654	99.21737	250.2324	740	16190.17		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.8	249.91525:108 249.97539:2458 250.23242:65 250.97144:47	248.97038:2649
20	Unknown	10	0.3645667	0.4822667	0.8363333	-1	-1	-1	-1	250.4458	315.3333	2772.497		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.306667	249.97539:7224 255.22403:119	
21	Unknown	12	0.3645667	0.4822667	0.8363333	11.42356	12.14505	12.74629	99.21312	250.4458	386.6667	8369.253	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.733333	249.97539:2458 250.23242:65 250.97144:47	248.97:33328
22	Unknown	10	0.3645667	0.4822667	0.5999666	-1	-1	-1	-1	339.1968	658.6667	6695.561		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.56667	339.19684:364	
23	Unknown	108	0.3645667	0.4822667	0.5999666	22.72687	23.68886	24.41034	190.9059	339.1968	440.3333	15398.96		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.806666	339.20322:49	248.96494:50
24	w/o MS2:Phenylphosphoric acid	11	0.4038	0.5215	0.6401833	-1	-1	-1	-1	172.9946	2019.667	25582.48		[M-H]-	M + 0		null	null	173.00092	C6H7O4P	Phenyl phosphates	CMPQUABWPXYYSH-UHFFFAOYSA-N	O=P(O)(O)OC=1C=CC=CC1	530	True	True	True	False	null	91.3	null	null	null	82.1	8.693334	172.9537:265 172.99463:844 174.95135:217	
25	w/o MS2:Phenylphosphoric acid	33	0.4038	0.5215	0.6401833	14.30951	15.031	15.87274	125.5116	172.9946	2586.333	68346.52		[M-H]-	M + 0		null	129.772	173.00092	C6H7O4P	Phenyl phosphates	CMPQUABWPXYYSH-UHFFFAOYSA-N	O=P(O)(O)OC=1C=CC=CC1	510	True	True	True	False	null	91.3	null	null	null	82.1	51.72667	172.9901:196	
26	Unknown	11	0.3250167	0.5215	0.6794167	-1	-1	-1	-1	187.0079	4051.667	73744.31		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	25.34	187.00316:634 188.00703:242 188.97079:1509	
27	Unknown	41	0.3250167	0.5215	0.6794167	15.031	15.99298	16.71447	132.8421	187.0079	4729.333	137270.2		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	94.58667	187.00789:456 189.00407:64	
28	Unknown	12	0.4430333	0.5607333	0.7578833	-1	-1	-1	-1	297.152	1001	11441.03		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	17.72	297.14606:302	
