"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription"
"01_malic acid","IMS_20V_HAHM_36h_R1_07",133.014247,1.99,116.25,"20V",247507,223548,2.8,-0.21,0.04,2,0.99991357085074,0,0,0.0115470053837925,0.0133333333333333,3.97156560229506,7.26666666666667,0.984519917656537,"RT-CCS-DIA"
"01_malic acid","IMS_20V_HAHM_36h_R2_08",133.014247,1.99,116.25,"20V",267129,246937,2.2,-0.21,0.03,2,0.999538297386434,0.0288675134594813,-0.0333333333333334,0.02,0.02,5.75528742404177,8.56666666666667,0.98182870188969,"RT-CCS-DIA"
"01_malic acid","IMS_20V_HAHM_36h_R3_09",133.014247,1.99,116.25,"20V",354151,311757,4.9,-0.21,0.04,3,0.999645523635704,0,0,0.0330403793359983,0.0225,6.02577795807313,5.95,0.987001015745567,"RT-CCS-DIA"
"01_malic acid","IMS_20V_HAHM_60h_R1_19",133.014247,2.02,116.25,"20V",225640,210753,4,-0.18,0.04,3,0.998342436701578,0.0230940107675851,0.02,0.0294392028877595,0.03,14.6399852003568,-4.475,0.965556810456133,"RT-CCS-DIA"
"01_malic acid","IMS_20V_HAHM_60h_R2_20",133.014247,2,116.25,"20V",280159,260686,4.2,-0.2,0.04,2,0.998998095501479,0.0230940107675851,-0.0133333333333333,0.01,0.01,3.2316146634977,7.86666666666667,0.982909757615703,"RT-CCS-DIA"
"01_malic acid","IMS_20V_HAHM_60h_R3_21",133.014247,2.02,116.25,"20V",211845,196421,2.7,-0.18,0.04,3,0.9989916913425,0.105,0.0525,0.0129099444873581,0.015,4.73462423711393,7.55,0.973641766647237,"RT-CCS-DIA"
"01_malic acid","IMS_20V_HALM_36h_R1_04",133.014247,2,116.25,"20V",608504,551501,4.3,-0.2,0.04,3,0.999439836758698,0.04,-0.02,0.0191485421551268,0.015,11.0810273290281,0.725,0.971432097553703,"RT-CCS-DIA"
"01_malic acid","IMS_20V_HALM_36h_R2_05",133.014247,2,116.25,"20V",591077,537098,4.8,-0.2,0.04,3,0.999410602615287,0.025,0.0125,0.0206155281280883,0.0175,9.78038001988334,3.125,0.980685762595279,"RT-CCS-DIA"
"01_malic acid","IMS_20V_HALM_36h_R3_06",133.014247,2,116.25,"20V",657735,592903,4,-0.2,0.04,3,0.999448836547454,0,0,0.0336650164612069,0.02,7.63167740408359,3.675,0.98687757244172,"RT-CCS-DIA"
"01_malic acid","IMS_20V_HALM_60h_R1_16",133.014247,2.04,116.25,"20V",215288,202994,1.7,-0.16,0.04,3,0.998342964251871,0.0435889894354068,0.055,0.0478713553878169,0.0225,8.53971115826915,2.2,0.969472337260209,"RT-CCS-DIA"
