"PeakDecoderScore","FDR"
0.99,0
0.98,0
0.97,0.013
0.96,0.014
0.95,0.018
0.94,0.021
0.93,0.022
0.92,0.022
0.91,0.023
0.9,0.022
0.89,0.025
0.88,0.024
0.87,0.025
0.86,0.026
0.85,0.027
0.84,0.028
0.83,0.03
0.81,0.031
0.8,0.031
0.79,0.031
0.78,0.031
0.76,0.031
0.75,0.031
0.74,0.031
0.73,0.032
0.72,0.032
0.71,0.033
0.7,0.033
0.69,0.033
0.66,0.034
0.65,0.034
0.59,0.036
0.57,0.036
0.53,0.039
0.45,0.04
0.39,0.042
0.38,0.042
0.36,0.043
0.34,0.044
0.32,0.044
0.31,0.044
0.3,0.044
0.29,0.045
0.28,0.045
0.27,0.046
0.2,0.052
0.16,0.054
0.12,0.056
0.08,0.061
0.05,0.066
0.04,0.07
0.02,0.137
0,0.27
