"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription","ConfidenceLevel"
"01_malic acid","IMS_20V_HAHM_36h_R3_09",133.014247,1.99,116.25,"20V",354151,311757,4.9,-0.21,0.04,3,0.999645523635704,0,0,0.0330403793359983,0.0225,6.02577795807313,5.95,0.987001015745567,"RT-CCS-DIA",2
"03_cis-aconitic acid","IMS_20V_LAHM_60h_R2_23",173.009162,2.08,124.63,"20V",1402,936,-23.5,0.08,10.43,1,0.96050569870179,0,0,0,0,13.0814754519511,-14.25,0.946038324014339,"None",0
"05_isocitric acid","IMS_20V_HALM_60h_R2_17",191.019727,3.46,127.43,"20V",3654852,176.529702970297,-2.7,-0.04,0.36,4,0.978013998506433,0.0319374388453426,-0.00199999999999996,0.00836660026534076,-0.00800000000000001,9.28617251616617,0.46,0.972267343249411,"RT-CCS-DIA",2
"07_succinic acid","IMS_20V_LAHM_36h_R1_10",117.019333,1.68,116.56,"20V",32044,29074,-2.5,-0.12,0.07,1,0.999866442594748,0,0,0.0212132034355964,0.015,9.75807358037436,4.4,0.986298499431708,"RT-CCS-DIA",2
"08_alpha-ketoglutaric acid (aKG)","IMS_20V_HALM_36h_R3_06",145.014247,1.74,121.43,"20V",6955,6955,-8.5,-0.06,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"11_fumaric acid","IMS_20V_LALM_60h_R2_14",115.003683,2,117.64,"20V",81615,81317,4.8,-0.2,0.19,1,0.998662333059264,0,0,0.0565685424949238,0.04,6.29325035256027,0.35,0.986580804260542,"RT-CCS-DIA",2
"14_citramalic acid","IMS_20V_HAHM_36h_R1_07",147.029897,1.95,122.18,"20V",139832,135222,9.9,0.15,0.12,1,0.998196033685639,0,0,0.0282842712474619,0.02,3.95979797464467,7.1,0.98592571905382,"RT-CCS-DIA",2
"15_glyceraldehyde-3-P (G3P)","IMS_40V_LALM_60h_R3_15",168.990749,1.91,124.95,"40V",823,823,-56.3,-0.49,1.63,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"16_phosphoenolpyruvate (PEP)","IMS_40V_HALM_60h_R2_17",166.975099,3.21,121.84,"40V",1207,1207,-15.8,-0.09,5.12,0,NA,NA,NA,NA,NA,NA,NA,NA,"None",0
"17_glucose 6-phosphate (G6P)","IMS_40V_HAHM_36h_R1_07",259.022443,3.34,147.27,"40V",2294609,7.97538221791686,-6.2,-0.26,-0.21,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"19_fructose 1,6-diphosphate (F16DP)","IMS_20V_HAHM_60h_R2_20",338.988774,4.86,155,"20V",1456156,90.4081376590787,-9.6,-0.14,0.48,7,0.834595918235831,0.0346410161513775,-0.0299999999999999,0.0444007721940573,-0.005,10.6621828373529,-4.725,0.782460690600615,"None",0
"20_6-phosphogluconic acid (6PG)","IMS_40V_HALM_36h_R2_05",275.017358,4.21,144.08,"40V",5605159,3.16275246836015,-6.8,0.01,-0.3,5,0.998819132791917,0.0163299316185545,0.00666666666666667,0.06,0.04,7.86326904029107,3.85,0.984190335548764,"RT-CCS-DIA",2
"21_3-phosphoglyceric acid (3PG)","IMS_20V_HALM_60h_R2_17",184.985664,4.68,125.05,"20V",9449,2254,-18.4,-0.12,11.14,3,0.536720133659868,0.0549999999999999,-0.0525,0.0298607881119482,-0.0125,14.8770516792363,-11.1,0.0210184399469022,"None",0
"22_quinic acid","IMS_20V_HALM_36h_R3_06",191.0561,1.22,134.75,"20V",136744,19.5069823922283,-2.8,-0.28,-5.08,6,0.832638877112487,0.0525085027128261,-0.0271428571428572,0.0614894493466349,-0.0485714285714286,19.9866383938299,16.4714285714286,0.179308742545234,"None",0
"24_acetoacetyl-CoA","IMS_40V_HALM_60h_R2_17",850.129063,4.21,254.51,"40V",12426,1380,45.7,0.91,NA,5,0.377742219738572,0.536606621899755,0.596666666666667,0.0299443929086343,0.0183333333333333,27.8528095530774,21.35,0.025501433581084,"None",0
"25_HMG-CoA","IMS_40V_HALM_60h_R3_18",910.1502,4.34,261.39,"40V",17164,14464,-12.8,-0.26,-0.57,4,0.996641526896561,0.0357770876399967,-0.024,0.033166247903554,0.05,10.1738390001022,-5.68,0.961747568786189,"RT-CCS-DIA",2
"26_mevalonic acid","IMS_40V_HALM_60h_R2_17",147.0663,0.65,128.97,"40V",59639,59639,7.4,-0.25,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
"27_mevalonate-5-phosphate (mev-5P)","IMS_40V_HAHM_36h_R1_07",227.0326,2.43,138.11,"40V",50668,48809,-7.4,0.03,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS",1
