Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Ion Mobility MS1,Ion Mobility Fragment,Collisional Cross Section,Area,Total Area,Height,Background,Mass Error PPM,Fwhm,Explicit Ion Mobility High Energy Offset,Explicit Retention Time
01_malic acid,Standards,IMS_20V_HAHM_36h_R1_07,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,223548,247507,22026,0,2.8,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HAHM_36h_R2_08,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,246937,267129,25298,0,2.2,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HAHM_36h_R3_09,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,311757,354151,26005,0,4.9,0.18,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HAHM_60h_R1_19,133.014247,-1,133.014247,-1,precursor,2.02,13.64,13.53,116.25,210753,225640,20135,0,4,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HAHM_60h_R2_20,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,260686,280159,26595,0,4.2,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HAHM_60h_R3_21,133.014247,-1,133.014247,-1,precursor,2.02,13.64,13.53,116.25,196421,211845,19454,0,2.7,0.15,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HALM_36h_R1_04,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,551501,608504,47278,0,4.3,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HALM_36h_R2_05,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,537098,591077,48785,0,4.8,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HALM_36h_R3_06,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,592903,657735,54055,0,4,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HALM_60h_R1_16,133.014247,-1,133.014247,-1,precursor,2.04,13.64,13.53,116.25,202994,215288,18861,0,1.7,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HALM_60h_R2_17,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,192986,210184,17912,0,2.4,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HALM_60h_R3_18,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,127013,134867,12578,0,4.1,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LAHM_36h_R1_10,133.014247,-1,133.014247,-1,precursor,2.03,13.64,13.53,116.25,210968,229755,20334,0,5.2,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LAHM_36h_R2_11,133.014247,-1,133.014247,-1,precursor,2.03,13.64,13.53,116.25,220051,240485,21005,0,3.7,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LAHM_36h_R3_12,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,213228,227794,21567,0,5.8,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LAHM_60h_R1_22,133.014247,-1,133.014247,-1,precursor,2.02,13.64,13.53,116.25,188847,204511,18455,0,2.9,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LAHM_60h_R2_23,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,128545,135823,12088,0,2.8,0.15,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LAHM_60h_R3_24,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,217240,242822,22107,0,3.8,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LALM_36h_R1_01,133.014247,-1,133.014247,-1,precursor,1.98,13.64,13.53,116.25,391325,421566,33629,0,3.4,0.18,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LALM_36h_R2_02,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,326086,362986,30399,0,3.2,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LALM_36h_R3_03,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,352605,390093,34262,0,4,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LALM_60h_R1_13,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,376986,416399,35894,0,2.3,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LALM_60h_R2_14,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,332155,375555,30055,0,7.6,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_LALM_60h_R3_15,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,388832,425770,36786,0,2.1,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HAHM_36h_R1_07,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,232273,232273,23268,1143,2.6,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HAHM_36h_R2_08,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,219671,219671,22576,0,2.8,0.15,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HAHM_36h_R3_09,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,316580,316580,28306,0,2.2,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HAHM_60h_R1_19,133.014247,-1,133.014247,-1,precursor,2.02,13.64,13.53,116.25,221252,221841,21416,0,2.4,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HAHM_60h_R2_20,133.014247,-1,133.014247,-1,precursor,1.98,13.64,13.53,116.25,311028,311028,28927,284,1.2,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HAHM_60h_R3_21,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,202184,202357,20799,1388,14,0.15,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HALM_36h_R1_04,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,560006,560006,50206,0,1.2,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HALM_36h_R2_05,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,576618,576618,53361,1823,3.9,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HALM_36h_R3_06,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,598049,598049,52139,5013,3.8,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HALM_60h_R1_16,133.014247,-1,133.014247,-1,precursor,2.04,13.64,13.53,116.25,231088,231088,18855,0,2.4,0.19,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HALM_60h_R2_17,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,180481,180481,15549,0,14,0.18,-0.013301757,2.2
