"MoleculeGroup","PrecursorName","PrecursorMz","ProductName","ProductMz","Explicit Retention Time","Collisional Cross Section (sq A)","Explicit Retention Time Window","PrecursorCharge","ProductCharge"
"raw10037","raw10037",401.10587,"raw10037-f1",113.022,4.678,181.3652,2,-1,-1
"raw10037","raw10037",401.10587,"raw10037-f3",151.041,4.678,181.3652,2,-1,-1
"raw10037","raw10037",401.10587,"raw10037-f4",229.99899,4.678,181.3652,2,-1,-1
"raw10037","raw10037",401.10587,"raw10037-f2",345.02899,4.678,181.3652,2,-1,-1
"raw10037","raw10037",401.10587,"raw10037-f5",362.03699,4.678,181.3652,2,-1,-1
"raw10041","raw10041",401.11978,"raw10041-f4",74.024,1.626,180.417,2,-1,-1
"raw10041","raw10041",401.11978,"raw10041-f2",78.958,1.626,180.417,2,-1,-1
"raw10041","raw10041",401.11978,"raw10041-f1",341.09698,1.626,180.417,2,-1,-1
"raw10041","raw10041",401.11978,"raw10041-f3",342.099,1.626,180.417,2,-1,-1
"raw10090","raw10090",401.34943,"raw10090-f7",75.008,1.337,180.4137,2,-1,-1
"raw10090","raw10090",401.34943,"raw10090-f2",97.97,1.337,180.4137,2,-1,-1
"raw10090","raw10090",401.34943,"raw10090-f4",119.032,1.337,180.4137,2,-1,-1
"raw10090","raw10090",401.34943,"raw10090-f6",143.03,1.337,180.4137,2,-1,-1
"raw10090","raw10090",401.34943,"raw10090-f5",161.043,1.337,180.4137,2,-1,-1
"raw10090","raw10090",401.34943,"raw10090-f3",179.049,1.337,180.4137,2,-1,-1
"raw10090","raw10090",401.34943,"raw10090-f8",180.054,1.337,180.4137,2,-1,-1
"raw10090","raw10090",401.34943,"raw10090-f9",343.10199,1.337,180.4137,2,-1,-1
"raw10090","raw10090",401.34943,"raw10090-f1",401.134,1.337,180.4137,2,-1,-1
"raw10171","raw10171",402.97968,"raw10171-f1",78.958,3.758,172.8075,2,-1,-1
"raw10171","raw10171",402.97968,"raw10171-f3",158.916,3.758,172.8075,2,-1,-1
"raw10171","raw10171",402.97968,"raw10171-f2",384.97,3.758,172.8075,2,-1,-1
"raw10173","raw10173",402.97968,"raw10173-f2",272.94699,3.647,172.8075,2,-1,-1
"raw10173","raw10173",402.97968,"raw10173-f3",305.008,3.647,172.8075,2,-1,-1
"raw10173","raw10173",402.97968,"raw10173-f1",384.97,3.647,172.8075,2,-1,-1
