"PrecursorName.Replicate","PrecursorName","Label","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","featTarget","Total.Area","Precursor.Mz","Precursor.SignalToNoise","CountFragments"
"raw11009.20V_LALM_36h_R1_01","raw11009","target",0.997597097683819,0.0230940107675851,0.0133333333333333,0.0208166599946613,-0.0466666666666667,5.71926568713152,15.4,0.973749447231317,11009,1363737,421.11627,519.895193065406,3
"raw11066.20V_HALM_60h_R2_17","raw11066","target",0.999785951893071,0.0613052471924985,-0.0425,0.148211560502771,0.045,5.65058993970246,5.525,0.944412741158558,11066,7008767,423.07907,293457,4
"raw11412.20V_LAHM_60h_R1_22","raw11412","target",0.963818897631645,0.0927601446982724,0.044,0.0366515120197426,-0.019,17.7041238133944,19.46,0.70006563183938,11412,4192545,430.2478,683701,10
"raw11412.20V_LAHM_60h_R2_23","raw11412","target",0.791826573218425,0.232551069659978,0.104,0.0130384048104053,-0.032,17.3231636833461,15.38,0.196338746306622,11412,5310869,430.2478,106972,5
"raw11412.20V_LALM_36h_R2_02","raw11412","target",0.900025849429908,0,0,0.0166904592079256,-0.0275,19.4357503806039,20.6375,0.876369305406546,11412,2087061,430.2478,174035,8
"raw11412.40V_HAHM_60h_R2_20","raw11412","target",0.698966321027343,0,0,0.02,9.25242322717447e-18,5.75586657246326,6,0.706470746791009,11412,2124344,430.2478,617258,3
"raw11412.40V_HALM_36h_R2_05","raw11412","target",0.795245835159816,0,0,0.0154919333848297,-0.01,15.4798794138283,16.9333333333333,0.783973977710629,11412,2042941,430.2478,248823,6
"raw11412.40V_LAHM_36h_R3_12","raw11412","target",0.976016744266658,0,0,0.0318852107828483,-0.0116666666666667,9.1999275359465,13.7333333333333,0.978974177471532,11412,4363201,430.2478,1087162,6
"raw11677.20V_LALM_36h_R1_01","raw11677","target",0.999874075167241,0,0,0.0750555349946514,0.106666666666667,17.8315263882073,10.5333333333333,0.967525182565708,11677,5855992,438.08008,259634,3
"raw11773.20V_LAHM_36h_R3_12","raw11773","target",0.999774816919884,0,0,0.031304951684997,0.00599999999999999,10.5205513163522,23.08,0.971990940190429,11773,1640084,439.14233,735795,5
"raw11831.20V_HALM_36h_R2_05","raw11831","target",0.966073305012473,0.0230940107675851,-0.02,0.0678232998312527,0.02,5.54218669239257,10.125,0.976277287289879,11831,8226608,439.29523,4117715,4
"raw11831.40V_HALM_36h_R1_04","raw11831","target",0.965231035850828,0.02,-0.01,0.0532290647422377,0.045,12.3835912938587,8.2,0.968852693812114,11831,5046341,439.29523,2355470,4
"raw11831.40V_HALM_36h_R2_05","raw11831","target",0.962265408981328,0.0230940107675851,-0.0133333333333333,0.0721110255092798,-9.25242322717447e-18,4.83976583455577,6.26666666666667,0.976072093390202,11831,6849687,439.29523,4311942,3
"raw11831.40V_HALM_36h_R3_06","raw11831","target",0.986816917122865,0.0230940107675851,-0.0133333333333333,0.0173205080756888,-0.00999999999999999,1.25830573921179,0.133333333333333,0.977670784350617,11831,3448875,439.29523,1269637,3
"raw11831.40V_LALM_36h_R1_01","raw11831","target",0.904701026609238,0.0750555349946514,-0.0433333333333334,0.0635085296108588,-0.0233333333333333,12.1960376079009,13.7333333333333,0.654690326445612,11831,2567512,439.29523,1148101,3
"raw11847.20V_HAHM_36h_R1_07","raw11847","target",0.999936898669424,0,0,0.0231660671385254,0.0283333333333333,7.11214922978045,16.2333333333333,0.98357296146732,11847,13335424,439.37534,2596636,6
"raw11847.20V_HAHM_36h_R3_09","raw11847","target",0.999669711646281,0,0,0.0182574185835055,0.02,6.89126431139626,16.6428571428571,0.982826143549369,11847,9289786,439.37534,1772477,7
"raw11847.20V_HAHM_60h_R1_19","raw11847","target",0.999960630515618,0,0,0.016431676725155,0.032,6.21103856049856,17.98,0.981610455410263,11847,15856603,439.37534,2473166,5
"raw11847.20V_HALM_36h_R2_05","raw11847","target",0.999878071096466,0.0223606797749979,-0.01,0.00836660026534075,0.018,6.3266894976757,17.42,0.97913956168726,11847,7954030,439.37534,5310.16097560976,5
"raw11847.20V_HALM_36h_R3_06","raw11847","target",0.99214867194398,0,0,0.0376069902316805,-0.00142857142857144,11.7571052478713,21.4571428571429,0.970509003556819,11847,8933993,439.37534,24.905233181923,7
"raw11847.20V_LAHM_36h_R3_12","raw11847","target",0.999887093760919,0,0,0.0173205080756888,-0.00499999999999999,5.27383478441763,19.2,0.978057245283577,11847,17438736,439.37534,2567259,4
"raw11847.20V_LALM_36h_R1_01","raw11847","target",0.999687440013644,0,0,0.0175119007154183,0.00666666666666668,3.83792478647858,19.1833333333333,0.97822357722004,11847,6672438,439.37534,1721517,6
"raw11847.20V_LALM_36h_R3_03","raw11847","target",0.993219768705313,0.0258198889747161,0.0166666666666667,0.0325064096243597,0.00166666666666667,4.10191012415761,16.1166666666667,0.978267061105655,11847,6553064,439.37534,1430472,6
"raw11965.40V_HAHM_60h_R2_20","raw11965","target",0.997592241270426,0,0,0.0187082869338697,0.06,11.0333585095382,25,0.969824054075844,11965,7733302,441.05182,3616910,5
"raw11965.40V_HALM_36h_R1_04","raw11965","target",0.87920300684592,0,0,0.0673052746818553,0.004,14.075972435324,21.64,0.861870399645455,11965,5363451,441.05182,2901442,5
"raw11965.40V_LAHM_60h_R3_24","raw11965","target",0.989176199928418,0,0,0.0558519869337201,-0.00777777777777777,11.3483601360627,19.9555555555556,0.969384768879403,11965,9380098,441.05182,422.094245524297,9
"raw12237.20V_HALM_36h_R1_04","raw12237","target",0.968491946845448,0.0616296542722275,-0.04375,0.0520302110042123,-0.0175,11.6812349518362,7.0625,0.907908890105917,12237,3668654,444.15805,47.4468416370107,8
"raw12237.40V_HALM_36h_R2_05","raw12237","target",0.99875708287411,0.04618802153517,0.0266666666666666,0.0208166599946613,0.00333333333333332,5.76570319504337,14.8333333333333,0.97718367909612,12237,4328004,444.15805,19.7771222549984,3
"raw12237.40V_HALM_60h_R1_16","raw12237","target",0.999836576580549,0.0850490054811538,0.0833333333333333,0.0435889894354067,0.07,13.0691749293264,12.1333333333333,0.853353805715026,12237,1601227,444.15805,76251,3
"raw12237.40V_HALM_60h_R3_18","raw12237","target",0.999195165315775,0.109048918686371,0.0375,0.0478713553878169,0.0575,13.751363568752,-1.6,0.800208514941071,12237,895846,444.15805,28207,4
"raw12768.20V_HALM_60h_R2_17","raw12768","target",0.862260643898056,0,0,0.0223606797749979,0.02,19.0616893270245,15.16,0.884331122053109,12768,7001651,457.19699,32723,5
"raw12944.20V_HAHM_36h_R1_07","raw12944","target",0.999642549682909,0,0,0.00447213595499958,0.00800000000000001,7.66922421109202,15.72,0.982537429144169,12944,3215190,462.10535,1431.27792915531,5
"raw12944.20V_HAHM_60h_R3_21","raw12944","target",0.999178311048802,0,0,0.00707106781186547,5.55094571653633e-18,6.46668384877442,18.26,0.979513857664264,12944,3555300,462.10535,2593882,5
"raw12944.20V_LAHM_60h_R3_24","raw12944","target",0.999024770638387,0,0,0.00517549169506766,-0.00375,5.87318360978828,16,0.98092682646015,12944,4211743,462.10535,1223.038925652,8
"raw12944.20V_LALM_36h_R2_02","raw12944","target",0.999914429694968,0,0,0,0.01,6.69818738807106,18.4285714285714,0.979726688507706,12944,6725419,462.10535,1290.76644113667,7
"raw12975.20V_HAHM_36h_R1_07","raw12975","target",0.99969076748789,0,0,0.005,-0.0025,11.7935010351747,15.1,0.982044032722441,12975,775256,462.26221,118612,4
