PrecursorName,ProductName,ProductMz,LibraryIntensity,methodCE
01_malic acid,precursor,133.0142,1144753,20V
01_malic acid,115ref,115.0026,36497,20V
01_malic acid,71ref,71.0126,98768,20V
01_malic acid,72ref,72.9918,43028,20V
01_malic acid,89ref,89.0231,4205,20V
03_cis-aconitic acid,precursor,173.0092,675271,20V
03_cis-aconitic acid,129ref,129.0183,3064,20V
03_cis-aconitic acid,85ref,85.0283,123444,20V
04_trans-aconitic acid,precursor,173.0092,785911,20V
04_trans-aconitic acid,101,101.0256,88401,20V
04_trans-aconitic acid,117,117.0189,329999,20V
04_trans-aconitic acid,129ref,129.0173,77836,20V
04_trans-aconitic acid,154,154.9959,153306,20V
04_trans-aconitic acid,72,72.9934,536242,20V
04_trans-aconitic acid,73,73.029,764547,20V
04_trans-aconitic acid,99,99.0071,102524,20V
05_isocitric acid,precursor,191.0197,8740784,20V
05_isocitric acid,111ref,111.0096,2248845,20V
05_isocitric acid,67,67.0186,178494,20V
05_isocitric acid,72ref,72.9936,739039,20V
05_isocitric acid,85,85.0309,1246144,20V
05_isocitric acid,87,87.0077,183368,20V
06_citric acid,precursor,191.0197,2795123,20V
06_citric acid,111ref,111.0077,1118739,20V
06_citric acid,112,112.0123,97936,20V
06_citric acid,129ref,129.0181,25664,20V
06_citric acid,67,67.0186,110860,20V
06_citric acid,85ref,85.0283,608951,20V
06_citric acid,87ref,87.0076,788673,20V
07_succinic acid,precursor,117.0193,136474,20V
07_succinic acid,73ref,73.0282,16199,20V
07_succinic acid,99ref,99.0076,339,20V
11_fumaric acid,precursor,115.0037,116121,20V
11_fumaric acid,89,89.0224,6439,20V
13_aspartic acid,precursor,132.0302,2607998,20V
13_aspartic acid,71ref,71.0151,90304,20V
13_aspartic acid,72,72.0073,16391,20V
13_aspartic acid,88ref,88.04,337856,20V
14_citramalic acid,precursor,147.0299,81052,20V
14_citramalic acid,103ref,103.0387,905,20V
14_citramalic acid,129ref,129.0184,227,20V
14_citramalic acid,85ref,85.0283,7654,20V
14_citramalic acid,87ref,87.0076,5765,20V
17_glucose 6-phosphate (G6P),precursor,259.0224,2725144,20V
17_glucose 6-phosphate (G6P),138ref,138.9788,96690,20V
17_glucose 6-phosphate (G6P),168ref,168.9899,2413,20V
17_glucose 6-phosphate (G6P),199ref,199.0011,41467,20V
17_glucose 6-phosphate (G6P),78ref,78.9579,336110,20V
